,Concept,Euclidean,Pearson
0,bee_raccoon,0.6096834540367126,0.294003963470459
1,bird_ant,1.210727334022522,0.6197613179683685
2,ant_raccoon,0.7068715691566467,0.31550705432891846
3,deer_fish,0.7467361688613892,0.5002196729183197
4,bear_frog,0.6553205251693726,0.458060622215271
5,alligator_rhinoceros,0.9064818024635315,0.47879981994628906
6,rhinoceros_alligator,0.9064818024635315,0.47879981994628906
7,bird_deer,0.9719810485839844,0.6442499160766602
8,bird_horse,0.9075523018836975,0.5309311747550964
9,horse_bird,0.9075523018836975,0.5309311747550964
10,kangaroo_camel,0.6835992932319641,0.45693087577819824
11,horse_kangaroo,0.5821240544319153,0.3678724765777588
12,kangaroo_horse,0.5821240544319153,0.3678724765777588
13,elephant_deer,0.6606200933456421,0.4376564621925354
14,squirrel_cat,0.7903082370758057,0.5070658326148987
15,rabbit_deer,0.673937201499939,0.38890141248703003
16,raccoon_rabbit,0.627123236656189,0.26823240518569946
17,horse_monkey,0.47011324763298035,0.24359339475631714
18,rabbit_camel,0.6419678926467896,0.36933237314224243
19,monkey_dog,0.7057604193687439,0.3458018898963928
20,monkey_squirrel,0.5846983194351196,0.2990528345108032
21,horse_goat,0.596656322479248,0.33679020404815674
22,giraffe_zebra,0.6740906834602356,0.37305957078933716
23,horse_cow,0.5167417526245117,0.3028579354286194
24,rhinoceros_cow,0.7597789764404297,0.4436941146850586
25,zebra_deer,0.7142848372459412,0.4686451554298401
26,cow_lion,0.5967018604278564,0.35101354122161865
27,donkey_cow,0.6856132745742798,0.38563060760498047
28,lion_cow,0.5967018604278564,0.35101354122161865
29,bear_cow,0.5467743873596191,0.3129369020462036
30,camel_rhinoceros,0.8410810828208923,0.530332624912262
31,cat_sheep,0.7002096772193909,0.4198867678642273
32,giraffe_donkey,0.6630352735519409,0.3642871379852295
33,giraffe_lion,0.6570932269096375,0.37249046564102173
34,cow_dog,0.713720440864563,0.35188841819763184
35,giraffe_dog,0.7145053148269653,0.3821491599082947
36,leopard_zebra,0.6607006788253784,0.37200188636779785
37,donkey_dog,0.7653434872627258,0.4319201111793518
38,cat_dog,0.7256802320480347,0.35803717374801636
39,lion_bear,0.6929574012756348,0.4361354112625122
40,rabbit_raccoon,0.627123236656189,0.26823240518569946
41,bear_leopard,0.6970170140266418,0.4558391571044922
42,rhinoceros_horse,0.8696111440658569,0.5230304300785065
43,raccoon_lion,0.6232272386550903,0.3193734288215637
44,tiger_raccoon,0.7285112738609314,0.3481968641281128
45,dog_bear,0.7822881937026978,0.4071027636528015
46,dog_raccoon,0.7318017482757568,0.365511953830719
47,deer_sheep,0.6979680061340332,0.4602946639060974
