,bird,tiger,donkey,rabbit,deer,camel,goat,sheep,cat,kangaroo,rhinoceros,penguin,frog,lion,dog,squirrel,bear,turtle,elephant,ant,horse,alligator,raccoon,cow,leopard,monkey,giraffe,bee,fish,zebra
29617,0.040966216,0.01708154,0.04073262,0.025628177,0.01992158,0.05292349,0.012109804,0.027801467,0.022961618,0.05892643,0.013894255,0.037724536,0.040606055,0.019019943,0.05845778,0.022938907,0.038432408,0.047160644,0.04343906,0.031363368,0.041427013,0.038617287,0.035233837,0.029962994,0.02053549,0.01847397,0.03968104,0.00893985,0.015743876,0.033893358
29618,0.045736153,0.01806595,0.04532246,0.028635474,0.029970916,0.06631666,0.031744782,0.03622791,0.04232396,0.106999785,0.060490068,0.05840841,0.06883493,0.05450194,0.042072445,0.036055546,0.054629993,0.07782803,0.050369095,0.037771035,0.030190052,0.057038426,0.030629983,0.0487241,0.076201476,0.029547496,0.037510704,0.056440506,0.027215356,0.053163443
33004,0.014278789,0.02976907,-0.012479708,0.0073183086,0.0041339877,-0.010213449,0.020368403,-0.0155201405,0.03355303,-0.004866198,0.008162439,0.01495392,-0.0071791545,-0.029911706,0.013467786,0.015328709,-0.02231238,-0.022715576,-0.0357931,0.0125127435,0.021189542,-0.016983392,0.015572528,-0.008984372,0.0062086247,0.00063531304,0.009102591,-0.024849353,0.036173638,0.0018302646
33036,0.042206585,0.0744417,0.018174099,0.0447187,0.043081027,0.051694255,0.066447586,0.042457286,0.048109736,0.07427872,0.07872869,0.045759264,0.0707799,0.07283547,0.06857417,0.043653414,0.05106038,0.029520446,0.06723825,0.026358059,0.028305745,0.062376324,0.09269765,0.045390617,0.029737243,0.019213375,0.032544184,0.061745986,0.039697986,0.04724914
33037,0.032594215,0.031726785,0.06638266,0.04743817,0.052241694,0.031094344,0.04825354,-0.005961731,0.0573325,0.09018046,0.05853894,0.010194419,0.05477112,0.047948357,0.06675568,0.06031434,0.07730084,0.05231533,0.048520014,0.044915747,0.0819522,0.031858716,0.0416974,0.047773283,0.030017048,0.01721709,0.04890363,0.05928506,0.058735926,0.025039492
33038,0.028172692,0.030116832,0.01758941,0.02373798,-0.0035965827,0.017331773,0.06752973,0.031070879,0.045003895,0.07237626,0.035908338,0.050710242,0.0035442233,0.026186293,0.024486134,-0.00089482527,0.018469563,0.025428573,0.043436665,0.014707599,0.010019721,-0.0022571103,0.005358147,0.022412792,0.02978552,0.012341236,0.012041718,0.009215989,0.026792815,0.036063407
33072,-0.00069422525,0.035210326,-0.0015296713,0.0123477755,0.0009199486,-0.023727337,0.031841177,0.024835415,0.03109627,0.021120481,0.040243745,0.022047097,0.012900866,0.02529473,0.026222704,0.019509213,0.03024138,0.012613252,0.03316934,-0.011984118,0.015047072,0.019404525,-0.002651183,0.030908259,0.044710293,0.011840138,-0.029321609,0.022507483,0.0342987,0.011415278
33073,0.022684976,0.0033829948,0.012454961,0.004364513,0.0077670966,0.024499929,-0.0062091057,0.007122589,0.003198861,-0.036730397,0.006856526,0.011188358,0.014813111,0.012781553,0.0063624852,-0.022131614,-0.010743727,-0.011589642,0.0032884453,-0.00065036473,-0.006649889,-0.015872981,0.0031005638,0.021283641,0.014740904,-0.032349095,-0.008603466,0.034982886,0.0036129365,-0.0071059316
33074,0.009847251,0.017957378,0.00944313,0.02216708,0.0014072793,-0.022307364,0.024723498,-0.033747774,0.016820448,-0.009270579,0.0020641217,-0.0031790624,0.017610079,0.0156398,0.01104254,-0.0137336925,0.052480463,0.0066807666,0.0005015678,-0.013579491,9.143756e-05,-0.010195176,-0.011792862,0.002599083,-0.011761322,-0.00034293393,0.016622858,0.013599235,0.026611442,-0.0105633065
33110,0.012876809,0.015100027,0.05336569,0.004220258,0.020026742,0.010723472,0.0140723735,0.009940814,0.0065357606,0.013523796,-0.0082500195,-0.015228249,0.05212279,0.04227069,0.004034557,-0.0007802272,-0.037505016,0.007927638,-0.0016065302,0.0043996656,0.026105722,0.023618363,0.011709594,0.024959361,0.023047023,0.033619735,0.014575965,0.0044535412,0.015315889,0.008543218
33154,0.036642846,0.052430276,0.08157133,0.036993515,0.109452985,0.080351405,0.06972011,0.059146818,0.07104527,0.054863077,0.037672784,0.052075375,0.06566783,0.081308626,0.07620143,0.033002775,0.11748465,0.016084569,0.073067315,0.07127436,0.06595311,0.06585536,0.07590878,0.05845749,0.0774499,0.059933756,0.06667075,0.030850565,0.06129366,0.057697367
33155,0.05411725,0.046859037,0.052052185,0.027395839,0.033957563,0.061907023,0.022099853,0.05549616,0.07684084,0.070706226,0.029161254,0.031278167,0.058033127,0.070244126,0.08650563,0.044160813,0.0826538,0.04723735,0.05941985,0.067809254,0.042792946,0.05226964,0.05356276,0.052910764,0.034062788,0.021216074,0.05875768,0.025164632,0.028612249,0.06788561
33156,0.055496525,0.03682593,0.03528234,0.04785551,0.031165471,0.034924157,0.04742297,0.077556714,0.067168236,0.11319979,0.03318343,0.07461097,0.07194082,0.073445894,0.034638308,0.04313052,0.06370989,0.073005795,0.03818219,0.052875917,0.050541863,0.057856698,0.056990255,0.0842639,0.0804795,0.04048809,0.030620689,0.045851912,0.016642526,0.05842532
33199,0.022362143,-0.020915456,0.011110604,0.0022228502,0.027289754,0.0076514296,0.018369934,-0.009069107,0.005713844,0.04740703,0.00019790076,0.0026045379,0.012049567,0.0075245104,0.009276935,0.002617035,0.028194582,0.02790705,0.02455093,0.015771298,0.0025869391,0.03853752,0.01881939,0.0058119143,-0.0015563084,-0.0034086548,0.018252598,-0.0030517813,0.03651734,0.02393233
33244,0.07908064,0.078967474,0.037637368,0.028634064,0.030578492,0.061733752,0.035782848,0.011607771,0.0568603,0.10182736,0.056252886,0.055256862,0.056312006,0.0699716,0.06796507,0.072412886,0.054367185,0.07995414,0.0643661,0.06962959,0.05734479,0.0503706,0.035702195,0.039743092,0.035177812,0.043474603,0.022300586,0.019850846,0.03459053,0.07492999
36678,0.01757105,0.011480893,0.025989307,0.034646507,0.012476382,0.011124267,0.038191017,0.019475007,0.0070403777,0.008589295,0.049832612,0.019015219,0.022967478,0.042636037,0.026397362,0.06183869,0.032786656,0.037462633,0.017815605,0.045901585,0.04283333,0.012266864,-0.01031289,0.021532623,0.015492433,0.026440263,0.016999768,0.012340408,0.013873253,0.031694416
36712,0.018066494,0.022140717,-0.0051041287,0.009715751,0.021371888,0.0113863675,0.03428732,-0.011142138,-0.0008857206,0.06341666,0.030145003,0.012432153,0.016733294,0.015518238,0.007503051,0.0056533073,0.02969063,0.027676815,0.0346211,0.015511091,0.0035504561,0.021635959,0.020050524,0.02173506,-0.007327059,0.028643139,0.021544876,0.0042410325,0.05510892,0.008675288
36713,-0.013955324,0.03368432,0.05891493,0.015037344,0.023465937,0.012727666,0.022562727,0.008048988,-0.0033462413,0.045594614,0.04667608,0.002573563,0.10105718,0.016836286,0.014520918,0.019493124,-0.010844833,0.022299588,0.028665746,-0.009967393,-0.0074419095,0.014885436,0.014768445,0.008255047,0.020402944,0.0028254483,-0.0017991401,-0.039809797,-0.014910992,-0.007027878
