,bee,cat,squirrel,ant,goat,raccoon,frog,kangaroo,leopard,fish,camel,penguin,giraffe,horse,zebra,alligator,rabbit,lion,cow,tiger,elephant,sheep,turtle,dog,rhinoceros,donkey,monkey,bear,bird,deer
73655,0.00040246733,0.035415646,0.018410938,0.015846597,-0.017218985,0.016853793,0.0042704367,0.016751366,0.030977396,0.0654129,-0.0071895723,-0.016179653,0.028580993,0.0067579155,0.01216931,0.03427312,0.041287784,0.060209405,0.012673187,0.049579244,0.004242615,0.010541127,0.023872467,0.054561403,0.008112017,0.018137068,0.018587857,-0.015418406,0.04751426,0.002834223
73675,-0.0046897084,0.026130853,0.01254889,0.024387756,-0.0017183783,0.0478251,0.003830634,0.005492003,0.05370323,0.013469216,0.007998529,-0.011274804,0.001993948,-0.009712183,0.061295703,0.056287184,0.043101642,0.06831735,0.04011968,0.06024551,0.011319389,0.06488695,0.036539663,0.044615213,0.024917275,-0.006657329,0.040347334,0.021582961,0.048598323,0.004351214
73676,-0.03606185,0.009809337,0.0101709645,0.0063378564,-0.013148375,0.013102069,0.024688268,0.025218658,-0.002581207,0.020147128,-0.010007123,-0.0054171127,-0.02547445,-0.006991986,-0.005024468,-0.012836379,0.019790564,0.02310337,0.034186576,0.027480992,0.017945932,0.041452482,0.038062315,0.029293953,0.006010365,-0.010891345,0.0042114924,-0.0012091784,0.0072148964,0.03066022
73696,-0.013514045,-0.005590444,0.049104262,0.028961418,-0.031592075,0.007913547,0.013433884,0.04592918,0.0541084,0.008252841,0.0076207644,-0.042037148,0.027499279,0.03489517,0.06968002,0.04978847,0.049028933,0.06584223,0.012931085,0.043256015,0.037598535,0.03979182,0.018168442,0.049593132,-0.02343583,0.0149118425,0.03449328,0.0067628534,0.027310861,0.0062715015
73697,-0.0151572,0.028477443,0.04076968,0.028333073,-0.011795782,0.039102014,0.03010332,0.033899482,0.08758205,0.022989608,0.014619187,-0.04412889,0.007824997,0.02560884,0.07906151,0.0732136,0.05140939,0.082223244,0.03211119,0.06675791,0.038929075,0.056013275,0.04445978,0.050773714,0.010963805,0.027708918,0.04788659,0.053767383,0.03897216,0.0238493
73698,0.0042986525,0.0382987,0.053557117,0.032908205,0.02810734,0.04901379,0.01472929,0.037102193,0.06664615,0.036848832,0.018237641,-0.023678502,0.02104161,0.014274417,0.057303652,0.059921935,0.04524303,0.09287722,0.033361126,0.044092,0.043628823,0.058374584,0.06837652,0.048702225,0.02337438,0.022706015,0.028364988,0.02235785,0.062022362,0.023546135
73720,-0.03220888,-0.054814473,0.0336287,0.006025588,0.011748022,0.019655606,0.011144314,0.011240429,0.05204102,0.003474977,-0.0074509676,0.0050438517,0.04212788,0.010279412,0.061545268,0.03169505,0.022531057,0.038604487,0.03285934,0.042889044,-0.0033931409,0.018532624,0.064268336,0.031911846,-0.011415278,0.009050751,-0.008419267,0.008266038,0.032423895,0.005281813
73721,-0.02725374,-0.010072569,0.030192032,0.026221236,0.004075427,0.022860995,-0.00030939342,0.032465454,0.08979834,0.0061820485,0.0118514225,-0.0065497556,0.032905255,0.012781183,0.040513795,0.02888148,0.029366134,0.058815837,0.03649395,0.062337864,0.03264143,0.04847093,0.04041292,0.048028857,-0.0052439026,-0.009096944,0.021949902,-0.0002967827,0.020381922,0.012039531
73722,-0.01940122,0.013044589,0.020397957,-0.0021423313,0.0013448229,0.022645338,0.0026109263,0.04282476,0.076601595,0.012338613,0.0009655487,-0.005052298,0.005626691,0.0065582846,0.04239139,0.037691098,0.030060163,0.060234893,0.026325008,0.0679176,0.008076236,0.02017734,0.0342716,0.04250127,0.004047759,-0.008206274,0.042633485,-0.0043535302,0.0137422895,0.0063064606
73723,0.012331042,0.026399136,0.038354862,0.010282465,0.0028369613,0.028281612,-0.011567455,0.017094955,0.019098459,0.027026668,0.010321587,0.018748024,-0.01005587,0.01540887,0.007806895,-0.00290876,0.018087916,0.030859908,0.016492726,0.044854432,-0.008234013,0.013237263,0.04680642,-0.022561168,0.012903067,0.015593776,0.028914526,0.01295098,0.030950489,0.020102756
73748,0.003999369,0.012541127,0.024580985,0.03628548,0.020526443,0.027356034,0.0036605299,0.038031857,0.034073677,-0.0027519495,0.00048520215,-0.00044560307,-0.0168059,-0.0042581246,0.02783376,0.015056573,0.0038234573,0.038373034,0.034284618,0.020644696,0.024703994,0.038474478,0.055612158,0.037966836,0.01804038,0.009646023,-0.007237524,0.030655168,0.038328946,0.037347913
73749,-0.020232555,0.026337616,0.015487023,0.02535799,0.0064772195,0.036855083,-0.01592481,0.029432045,0.040378038,0.016406348,-0.014966477,0.03153752,-0.0061981883,-0.007920588,0.057625186,0.058069382,0.016195409,0.03665534,0.016605502,0.07213289,-0.0020139408,0.08858526,0.041406654,0.044646513,0.007617445,0.003354866,0.011635561,0.010207388,0.037570108,0.035633508
73750,-0.032882854,-0.005130841,0.03634346,0.0071866694,0.010878973,0.02403695,0.020358702,0.009119333,0.05505987,0.019196728,-0.0042379424,0.0007458385,0.037363186,0.011230282,0.05174906,0.036912564,0.0021342572,0.03571337,0.005858096,0.04843065,0.024897955,0.013697316,0.059056446,0.06871014,-0.004622681,0.030857302,0.014204928,0.027993409,0.05489199,-0.003317449
73751,-0.03256846,0.009862702,0.03172127,0.010380984,0.013003312,0.018093722,-0.00850697,0.016566036,0.06872637,-0.009917367,0.007206442,-0.023866935,0.004790082,0.0022279911,0.030617269,0.02691392,0.002868111,0.06744521,0.014615003,0.044768807,0.03341951,0.017653355,0.038804077,0.03912062,-0.01761572,0.008233406,0.021121604,0.054241728,0.005507448,0.0047017224
73779,-0.01361933,0.0026854,-0.0076845195,-0.015589478,-0.008508742,0.022662757,0.011015066,-0.0071025807,-0.012758791,-0.012912519,-0.018317986,0.025130661,0.03652247,0.0020679727,0.015666679,0.016474396,-0.006307198,-0.0034768882,-0.004169218,-0.049954653,0.039356243,0.00844369,-0.004721944,-0.023877889,-0.03800412,0.016367415,0.008316341,-0.00244458,-0.020288033,-0.0025757793
73780,0.0024956912,-0.0022375903,0.007996668,0.027708856,0.019923674,0.010278517,0.010327634,0.00903129,0.025909754,0.011094469,-0.0020053785,-0.004531755,0.00091617554,-0.0031666069,0.046489377,0.013842311,0.015570093,0.014884594,0.025548631,0.021492846,0.009161393,0.025225192,0.054377582,0.01722237,0.011711036,0.022320652,0.03219347,-0.0013958024,0.02620536,0.058006804
78147,0.013512678,0.009508175,0.035087954,0.03349301,-0.012323889,0.026486866,0.0200223,0.0039155716,0.008904595,0.021917267,0.019602684,0.008066047,0.039327938,0.0035216287,-0.018091803,0.04565843,0.0062197163,0.017196294,0.024481175,0.024976136,0.023471022,0.039934907,0.021939335,0.028912013,0.034667257,0.034426887,0.015040283,-0.0031832105,0.007875892,0.016433189
78148,-0.019535668,0.013916559,-0.009659511,-0.019298887,-0.03215566,0.009556799,0.0266548,0.0049358597,0.001326024,-0.025278835,0.022091506,-0.030270517,-0.007734854,-0.008316026,0.00896084,0.016576698,0.018434513,0.047327552,0.0015453541,0.016608424,0.02421272,-0.010223543,0.018944321,0.012900875,-0.004471917,0.02074012,-0.011731661,0.0064555365,0.008443692,-0.008283199
78149,0.0067419843,0.029198227,0.034965146,-0.0014083888,-0.0061867074,0.03750558,0.010596042,0.0075568776,0.0041750236,0.013383669,0.015754012,-0.023569763,0.0071709394,-0.0072297095,0.026105383,0.0034068786,0.025390819,0.026988788,0.0132356025,0.013593767,0.024200603,0.02372724,0.006721381,0.056764767,0.0054038893,0.02372314,-0.015227585,0.02433396,0.013317733,-0.017168997
78167,0.01866306,0.026196517,0.04074805,0.05355658,-0.024479263,0.06258801,0.038615853,0.040949214,0.10890293,0.0369489,0.036829334,-0.013844398,0.031159898,0.060068358,0.09402975,0.080815904,0.06704924,0.097264744,0.052672695,0.0735095,0.058813464,0.0774528,0.051119294,0.07326133,0.029188402,0.017266626,0.062444046,0.0648278,0.057414647,0.023165008
78168,0.008806341,-0.007389421,0.031109557,0.015693992,0.014179732,0.015685974,0.011316564,0.03562592,0.07515071,0.0194035,0.033729102,-0.02423877,0.022165949,0.054675,0.039467257,0.035996374,0.050394814,0.06193242,0.04517625,0.049739808,0.030557452,0.042707857,0.0427551,0.067219384,0.015116353,0.017505208,0.041293472,0.003393668,0.035419077,-0.0053167506
78189,0.023546213,0.022418685,0.012183934,0.028997725,0.012358087,0.052905347,-0.0031069845,0.020189255,0.022233473,0.0119539285,0.058368515,-0.009502421,0.041264128,0.0749853,0.0352217,0.040793233,0.034179877,0.056548774,0.0047150133,0.049828395,0.02644373,0.06508903,0.019336043,0.041567072,0.02340249,0.057714373,0.045546364,0.003487967,0.04120514,0.041357413
78190,0.049786597,-0.017254228,0.06376525,0.053086083,0.013071601,0.04168145,0.035963222,0.049323846,0.08728972,0.028241677,0.055284113,-0.022339834,0.06978429,0.07987309,0.05412185,0.067164995,0.0673745,0.051484097,0.027097458,0.051954415,0.037154723,0.05467673,0.02916027,0.06333923,0.023768902,0.0266309,0.054912705,0.006709511,0.030772878,0.021643614
78191,0.021486608,0.018940842,0.043940146,0.026009545,-0.023634521,0.0074100643,0.050188344,0.045252323,0.050954286,0.0454694,0.019747099,-0.007922024,-0.01578901,0.036744904,0.04938956,0.051451266,0.035474394,0.044329446,0.007136772,0.049183507,0.026195467,0.0066593997,0.005665679,0.027681187,-0.010536201,0.012909639,0.041176755,0.0120054195,0.023382515,0.0042249463
78216,0.054215353,-0.015795564,0.019061549,0.012296143,-0.0037728723,0.045560166,0.033468578,0.023142979,0.07324957,0.023844002,0.002268728,0.025380874,0.033464983,0.020675736,0.05963899,0.0344039,0.020536864,0.009519967,0.02952578,0.046842147,0.012136884,0.03962684,0.044596016,0.018754719,0.013097413,0.010388232,0.028342078,0.012718208,0.009134172,-0.01220413
78217,0.019041877,0.0068178545,0.013901926,0.024958758,-0.01861138,0.005212558,0.022764375,0.0063805743,0.07486286,0.02278778,0.027550364,-0.021633012,0.0075436695,0.03568603,0.035808664,0.036553405,0.03122724,0.051419076,0.03337819,0.04878397,0.02560926,0.026042132,0.012533282,0.032704435,0.0068113524,0.00708678,0.018545073,0.010420212,-0.024136802,0.0013552848
78245,-0.005093336,-0.032935638,0.015227288,-0.000941844,-0.014389288,-0.04114392,-0.002538021,0.00075317064,0.023962585,0.019056708,0.010978687,-0.026721617,-0.031758595,-0.0024093185,0.014250123,0.027947107,0.0016830573,0.014198639,0.009886891,0.03306813,-0.002176421,0.01404163,0.003270942,0.01073768,-0.04458308,-0.018053591,-0.0024762924,-0.020509101,0.0073120743,-0.01166745
78246,-0.014586069,-0.042327244,0.033529025,0.0013671014,-0.013042078,-0.009870213,-0.0010825297,0.0136876935,0.037278708,-0.016385699,-0.008096389,-0.018395165,0.004875956,-0.008674331,0.008605897,0.015507367,-0.012166138,0.0215696,-0.020241316,0.059662562,0.02266369,0.008010453,0.017359307,0.0049540824,-0.05245416,0.009033069,0.0019502187,0.0006690342,-0.025373166,-0.04029272
78247,-0.0046363473,0.011080186,0.01723272,0.020283079,-0.014075246,-0.012196067,0.01688225,0.024008157,0.06264755,-0.008078387,0.011512908,-0.0028455218,0.034190007,0.004864831,0.008703425,0.012420726,0.021470902,0.05936818,0.0024014656,0.05680644,0.03858332,0.0053885654,0.004821058,0.02267599,-0.012380529,0.014376953,0.008275625,0.007060306,-0.013808601,0.008258493
