Concepts,category,concept 1,concept 2,phy,log-phy,avg-real,avg-conf,clip-real,clip-vis-sim,clip-sem-sim
swan_peacock,animals,swan,peacock,686,6.53,1.8,3.6,0.95,0.91,0.6
bee_raccoon,animals,bee,raccoon,686,6.53,1.5,3.6,0.9,0.9,0.66
penguin_chicken,animals,penguin,chicken,686,6.53,1.4,3.6,0.95,0.9,0.68
peacock_deer,animals,peacock,deer,686,6.53,1.3,3.7,0.89,0.89,0.57
peacock_elephant,animals,peacock,elephant,686,6.53,1.2,3.8,0.87,0.88,0.56
bird_ant,animals,bird,ant,686,6.53,1.2,3.8,0.88,0.87,0.6
ant_raccoon,animals,ant,raccoon,686,6.53,1.2,3.8,0.96,0.86,0.6
deer_fish,animals,deer,fish,462,6.14,1,3.8,0.6,0.88,0.72
bear_frog,animals,bear,frog,352,5.86,1.2,3.7,0.82,0.86,0.63
fox_frog,animals,fox,frog,352,5.86,1.2,3.8,0.91,0.85,0.63
giraffe_ostrich,animals,giraffe,ostrich,319,5.77,1.4,3.6,0.87,0.93,0.69
ostrich_giraffe,animals,ostrich,giraffe,319,5.77,1.1,3.8,0.84,0.93,0.69
deer_swan,animals,deer,swan,319,5.77,1.2,3.7,0.83,0.91,0.67
ostrich_kangaroo,animals,ostrich,kangaroo,319,5.77,1.4,3.7,0.94,0.91,0.68
swan_deer,animals,swan,deer,319,5.77,1.3,3.7,0.95,0.91,0.67
deer_chicken,animals,deer,chicken,319,5.77,1.3,3.7,0.73,0.9,0.65
donkey_rooster,animals,donkey,rooster,319,5.77,1.1,3.8,0.69,0.9,0.61
alligator_rhinoceros,animals,alligator,rhinoceros,319,5.77,1.1,3.7,0.59,0.89,0.56
camel_swan,animals,camel,swan,319,5.77,1.2,3.8,0.8,0.89,0.65
cat_chicken,animals,cat,chicken,319,5.77,1.2,3.7,0.74,0.89,0.7
duck_fox,animals,duck,fox,319,5.77,1.1,3.8,0.8,0.89,0.68
fox_duck,animals,fox,duck,319,5.77,1.2,3.8,0.78,0.89,0.68
rabbit_owl,animals,rabbit,owl,319,5.77,1.6,3.7,0.9,0.89,0.67
rhinoceros_alligator,animals,rhinoceros,alligator,319,5.77,1.2,3.8,0.8,0.89,0.56
rooster_camel,animals,rooster,camel,319,5.77,1.1,3.8,0.86,0.89,0.6
rooster_dog,animals,rooster,dog,319,5.77,1.2,3.8,0.95,0.89,0.67
rooster_squirrel,animals,rooster,squirrel,319,5.77,1.2,3.8,0.64,0.89,0.62
squirrel_rooster,animals,squirrel,rooster,319,5.77,1.2,3.7,0.71,0.89,0.62
cat_rooster,animals,cat,rooster,319,5.77,1.5,3.7,0.93,0.89,0.62
bird_deer,animals,bird,deer,319,5.77,1.2,3.8,0.55,0.88,0.65
deer_eagle,animals,deer,eagle,319,5.77,1.4,3.7,0.86,0.88,0.65
fox_chicken,animals,fox,chicken,319,5.77,1.1,3.7,0.92,0.88,0.68
frog_turtle,animals,frog,turtle,319,5.77,1.4,3.7,0.97,0.88,0.76
kangaroo_chicken,animals,kangaroo,chicken,319,5.77,1.6,3.7,0.89,0.88,0.64
bird_horse,animals,bird,horse,319,5.77,1.1,3.8,0.73,0.87,0.66
horse_bird,animals,horse,bird,319,5.77,1.2,3.8,0.73,0.87,0.66
alligator_turtle,animals,alligator,turtle,261,5.56,1.2,3.7,0.93,0.89,0.68
swan_turtle,animals,swan,turtle,261,5.56,1.1,3.7,0.98,0.89,0.6
kangaroo_camel,animals,kangaroo,camel,160,5.08,1.5,3.8,0.83,0.9,0.75
horse_kangaroo,animals,horse,kangaroo,160,5.08,1.2,3.7,0.61,0.89,0.67
kangaroo_horse,animals,kangaroo,horse,160,5.08,1,3.8,0.75,0.89,0.67
kangaroo_fox,animals,kangaroo,fox,160,5.08,1.5,3.6,0.88,0.87,0.71
rhinoceros_elephant ,animals,rhinoceros,elephant ,99,4.6,1.3,3.8,0.8,0.93,0.72
deer_elephant ,animals,deer,elephant ,99,4.6,1.3,3.8,0.76,0.9,0.72
elephant_deer,animals,elephant,deer,99,4.6,1.2,3.8,0.68,0.9,0.72
squirrel_cat,animals,squirrel,cat,94,4.54,1.7,3.7,0.79,0.92,0.66
rabbit_deer,animals,rabbit,deer,94,4.54,1.3,3.7,0.85,0.91,0.72
cow_mouse,animals,cow,mouse,94,4.54,1.3,3.6,0.88,0.9,0.66
deer_mouse,animals,deer,mouse,94,4.54,1.2,3.6,0.87,0.9,0.67
raccoon_rabbit,animals,raccoon,rabbit,94,4.54,1.6,3.6,0.95,0.9,0.72
fox_mouse,animals,fox,mouse,94,4.54,1.4,3.5,0.9,0.89,0.65
mouse_raccoon,animals,mouse,raccoon,94,4.54,1.5,3.6,0.95,0.89,0.65
raccoon_mouse,animals,raccoon,mouse,94,4.54,1.8,3.5,0.91,0.89,0.65
seal_rabbit,animals,seal,rabbit,94,4.54,1.1,3.8,0.87,0.89,0.57
horse_monkey,animals,horse,monkey,94,4.54,1.9,3.7,0.76,0.88,0.63
mouse_donkey,animals,mouse,donkey,94,4.54,1.3,3.7,0.92,0.88,0.62
rabbit_camel,animals,rabbit,camel,94,4.54,1.4,3.6,0.83,0.88,0.65
monkey_dog,animals,monkey,dog,94,4.54,1.2,3.7,0.93,0.87,0.67
rooster_eagle,animals,rooster,eagle,91,4.51,2.2,3.6,0.95,0.91,0.68
eagle_duck,animals,eagle,duck,91,4.51,2,3.6,0.94,0.89,0.68
monkey_squirrel,animals,monkey,squirrel,87,4.47,1.6,3.7,0.83,0.91,0.7
horse_goat,animals,horse,goat,76,4.33,1.7,3.5,0.72,0.93,0.66
giraffe_zebra,animals,giraffe,zebra,76,4.33,1.7,3.9,0.54,0.92,0.69
horse_cow,animals,horse,cow,76,4.33,1.8,3.6,0.61,0.92,0.75
rhinoceros_cow,animals,rhinoceros,cow,76,4.33,2,3.7,0.66,0.92,0.67
zebra_deer,animals,zebra,deer,76,4.33,1.8,3.6,0.56,0.92,0.66
cow_lion,animals,cow,lion,76,4.33,1.7,3.7,0.82,0.91,0.66
donkey_cow,animals,donkey,cow,76,4.33,1.7,3.6,0.73,0.91,0.69
lion_cow,animals,lion,cow,76,4.33,1.2,3.7,0.86,0.91,0.66
bear_cow,animals,bear,cow,76,4.33,2.9,3.6,0.91,0.9,0.72
camel_rhinoceros,animals,camel,rhinoceros,76,4.33,1.6,3.7,0.86,0.9,0.65
cat_sheep,animals,cat,sheep,76,4.33,1.9,3.5,0.88,0.9,0.66
giraffe_donkey,animals,giraffe,donkey,76,4.33,2,3.6,0.7,0.9,0.64
giraffe_lion,animals,giraffe,lion,76,4.33,1.1,3.7,0.71,0.9,0.66
gorilla_bear,animals,gorilla,bear,76,4.33,1.4,3.8,0.88,0.9,0.73
cow_dog,animals,cow,dog,76,4.33,1.2,3.8,0.85,0.89,0.74
fox_goat,animals,fox,goat,76,4.33,1.3,3.7,0.93,0.89,0.65
giraffe_dog,animals,giraffe,dog,76,4.33,1.4,3.7,0.91,0.89,0.6
giraffe_fox,animals,giraffe,fox,76,4.33,1.4,3.7,0.83,0.86,0.61
leopard_zebra,animals,leopard,zebra,71,4.26,1.5,3.6,0.58,0.91,0.68
donkey_dog,animals,donkey,dog,71,4.26,2.3,3.6,0.85,0.89,0.67
horse_fox,animals,horse,fox,71,4.26,1.3,3.7,0.84,0.89,0.63
cat_dog,animals,cat,dog,55,4.01,3,3.7,0.95,0.94,0.8
lion_bear,animals,lion,bear,55,4.01,1.5,3.6,0.87,0.92,0.74
rabbit_raccoon,animals,rabbit,raccoon,55,4.01,1.6,3.6,0.87,0.92,0.74
bear_leopard,animals,bear,leopard,55,4.01,1.3,3.7,0.85,0.91,0.68
rhinoceros_horse,animals,rhinoceros,horse,55,4.01,1.2,3.7,0.77,0.91,0.62
raccoon_lion,animals,raccoon,lion,55,4.01,2,3.5,0.95,0.88,0.64
tiger_raccoon,animals,tiger,raccoon,55,4.01,1.8,3.6,0.9,0.88,0.66
dog_bear,animals,dog,bear,45,3.81,1.3,3.7,0.89,0.92,0.73
dog_raccoon,animals,dog,raccoon,45,3.81,1.2,3.8,0.97,0.88,0.66
gorilla_deer,animals,gorilla,deer,27,3.3,1.2,3.8,0.81,0.89,0.6
deer_sheep,animals,deer,sheep,23,3.14,1.7,3.5,0.71,0.92,0.74
