,boat,penguin,cat,ladder,bus,horse,apple,dolphin,table,bear,axe,elephant,bell,pencil,spoon,frog,tiger,guitar,turtle,rhinoceros,cow,bee,monkey,spider,banana,rabbit,shoe,tree,trumpet,cactus,kangaroo,chair,dog,giraffe,wolf,lion,mushroom,tie,computer,whale,dress,hammer,scissors,ant,butterfly,popcorn,rifle,microscope,sheep,kite,knife,motorcycle,fish,piano,scorpion,umbrella,couch,brush,bottle,cup
17302,0.028247626,0.008747141,0.024196006,0.011934638,0.015697168,0.02675034,-0.0021377464,0.022914805,0.036167476,0.016143939,0.015800076,-0.006892217,-0.02849562,0.008129147,-0.008025567,0.019173486,0.006001635,-0.004639195,-0.0098199295,0.012471281,0.023489855,0.010572411,0.0241174,0.000109845154,0.030028999,0.00039775795,0.014675415,0.021293491,-0.005003666,0.023990007,0.02026748,0.05408601,0.021106718,-0.015352159,0.010924642,0.020468265,0.031072846,0.010431863,-0.0029823754,0.00033596778,0.0059219995,-0.010422221,0.020447282,0.013518296,0.007911578,-0.0061440524,0.02331289,0.017007861,-0.0015068896,0.014927273,0.021259597,0.008822965,0.02644443,-0.006944552,0.018736307,0.021119364,-0.008683675,0.031076394,0.04065018,0.017729158
17303,0.0025438706,0.0045386357,0.0013430245,0.0056185317,0.021209849,-0.003544823,0.006530984,0.017262897,-0.006305152,0.061682206,0.011254266,-0.015337274,-0.0060249916,-0.007908091,-0.010705519,0.017459812,0.022320641,0.011499458,0.019655313,0.0027645014,0.016571345,0.0047972556,0.024426587,-0.011946046,0.0058973343,0.022495536,0.022825161,0.0064589926,0.002950378,0.0069959364,-0.006823942,0.017343363,-0.0116411,-0.011015378,0.0087877335,0.007307948,-0.006610057,0.03317529,0.017632348,-0.018781891,-0.020479627,-0.022645896,0.0305785,0.017838068,-0.01905363,-0.03149802,-0.0048936293,0.016840013,0.013342503,0.05682826,0.03512453,-0.022450792,0.011252682,0.012685117,0.011392295,0.032474764,0.005147385,0.039304692,0.019746248,0.021455912
17347,0.023760907,0.00019720306,-0.0114283115,0.017552769,0.010402299,0.012530674,-0.03695605,0.010236667,0.020098602,0.012600493,0.022735557,0.023714034,0.014073998,0.021958357,0.01912185,-0.01175746,-0.013207443,0.009301582,0.0059930496,0.00065504824,0.024627553,0.0036479011,0.01152067,0.020661725,0.010654867,-0.0017226614,0.01159871,0.005343839,0.01587277,0.0046230354,0.025514564,-0.0031536687,0.029103035,-0.021508357,-0.0068941214,0.025924625,0.004870318,-0.016052656,-0.0022562928,-0.024677595,0.034329854,0.012140181,0.014608088,0.005851276,-0.0030792877,-0.02450271,0.04507211,0.022778608,0.02218514,0.013622463,0.039570827,0.0002944992,0.013830379,0.023664571,0.037077438,0.0043241917,0.008833896,0.052509356,0.01982716,0.0052338205
17348,0.008325909,-0.0037586286,-0.04612642,0.01629363,0.02108424,0.027454128,-0.0024064158,0.009864884,0.025345623,-0.021531671,0.020083247,0.024173312,0.012108356,-0.0037051213,0.009807299,0.014299691,0.02114962,0.030066332,0.01751355,-0.0008419091,0.002338844,-0.019065706,0.013394415,0.029473402,0.022487298,0.013270373,0.0010865586,0.006717192,0.008627087,0.006607286,-0.0033050154,0.027636549,-0.0040958896,0.014533055,0.013750922,0.021370359,0.017509166,-0.012305054,0.01406956,0.02517506,0.009561305,0.015964609,0.027248377,0.03499064,-0.0071509243,0.004892373,0.040590484,0.016059158,-0.0004023908,0.0061017834,0.025391785,-0.0123745175,-0.016291017,-0.0043476378,0.019197065,0.020170413,-0.008082389,0.034084085,0.00036597918,0.02807208
20057,0.010405934,0.042642277,0.006976124,-0.00020411967,0.023218393,0.018019013,0.022361197,0.02293391,-0.0020708302,0.0101240715,0.03730068,-0.012695973,0.006160977,0.04466665,0.0013689067,0.0440004,-0.003116383,0.0046929107,0.029423788,0.008263797,-0.005260384,0.00092915044,0.025356166,0.03437789,0.014691857,0.021652361,0.015097563,-0.014668785,0.025828399,-0.008317668,0.052018385,-0.0003173109,0.031760912,0.01662285,0.0062408783,0.021600403,-0.0077645034,0.045087278,0.04513508,0.021114117,0.019905662,0.0011041596,0.0054729073,0.027198201,0.013913426,0.010443632,0.010566133,0.032429498,0.004334459,-0.020192923,0.03659805,-0.0079481965,0.006233728,0.007359261,0.019271946,0.006825432,0.002945469,0.027109563,0.010681477,0.006854916
20100,0.0068483814,-0.008770835,0.024163114,0.03168315,0.015391146,0.024561895,0.030761758,-0.019030897,0.007969777,-0.024189802,0.040290512,0.038406614,0.07198661,0.026185552,0.010575793,0.023196204,0.009154337,0.041919615,0.008710708,0.010966246,0.027562184,0.015512417,0.020993387,0.041415103,0.0411288,0.027742386,0.039268464,-0.016780837,0.05074461,0.043668628,-0.008242583,-0.0058567026,0.031007916,0.0006742428,0.043702696,0.0055642487,0.03922748,0.008687091,0.019802043,-0.01019347,0.045707855,0.014210179,0.039872013,0.019367496,0.021896077,0.005804304,0.06446456,0.013303845,0.031541646,-0.02412417,0.0352757,-0.002830309,0.0334839,-0.012356125,0.044357833,-0.0006979732,0.013892275,0.026914181,-0.010931189,0.017600706
20101,-0.014211938,-0.022961961,0.014087059,-0.008977029,0.051976085,0.0053687417,-0.0018878165,0.0132164,-0.005370566,-0.038988438,0.040976815,0.017694315,0.05605225,0.035247523,-0.0040579657,0.052598048,-0.007691674,0.04142663,0.016612636,0.023929358,0.00049490883,0.044118553,0.01173013,0.0110200755,0.017663835,0.0043376083,0.033789944,-0.016717546,0.022121198,0.022150317,0.032545518,-0.0021109602,0.036575027,0.012643854,0.019512413,-0.023321288,0.028828135,0.022525603,0.015975831,-0.013211484,0.05384609,-0.011716184,0.010290173,0.040552143,-0.004540002,-0.008545126,0.03158921,0.02679923,-0.0057918592,-0.024040135,0.01709496,-0.0007113805,0.019790864,-0.009163648,0.02464545,-0.0038906217,0.029476205,0.03080195,-0.033986624,0.021820232
20143,0.034042228,0.02301381,0.0065499055,0.032804195,0.00636726,-2.1605752e-05,0.021883262,0.0052907295,-0.0064830794,0.041682545,0.048497453,0.017422376,0.042736467,-0.003064662,0.0047240076,0.017712565,0.030236445,0.03623893,0.013288054,-0.010342111,0.015750265,0.027199825,-0.008116626,0.06952628,0.016363764,0.00193243,0.020554733,-0.026036916,0.061344046,0.004274322,-0.0053734262,0.03534679,0.021620667,0.021487286,0.018321013,-0.027760126,0.02197972,0.05680177,0.0031233563,-0.0013308879,0.0045079817,0.0060534975,0.026354512,0.010223359,-0.00956798,0.00051634153,0.007715201,0.0014020763,0.061377544,-0.0016272006,0.0039045494,0.023478977,0.0013028396,0.0057058516,0.034491867,-0.0033578046,0.0002202633,0.009772008,-0.008097303,0.02322157
20144,0.000670813,-0.016464157,0.03702591,0.031746626,0.016925707,0.009569825,-0.0077964715,-0.0037814947,-0.030722445,-0.00066790386,-0.009465746,0.004544368,-0.0050656116,-0.011474115,-0.00090460666,-0.003024521,-0.014071472,0.0024778408,-0.023208244,0.0054095252,0.01039416,0.009539143,-0.0022779251,0.017632,1.3781983e-05,-0.022321269,-0.012227397,0.01843449,0.023515522,-0.006801892,0.009342112,0.016472498,0.013272524,-0.026915967,0.006119637,0.0014297947,-0.04391159,0.00379176,0.033357546,0.002177528,-0.008196551,0.0028308814,-0.0142110055,0.000628772,-0.00088108424,-0.0031557672,0.01102566,0.00091475033,-0.007076971,-0.011336447,0.028160848,0.016054697,-0.014350819,0.019449543,0.015645849,0.01790607,0.041208953,0.020148015,-0.0063601253,-0.011667814
20145,0.012834712,-0.028194854,0.019996786,0.009180147,0.03417952,-0.012594999,0.0039690533,-0.017644435,-0.011029945,-0.0013460348,0.056846578,-0.008606519,0.016982479,0.026156643,0.015343926,0.018354649,0.0047957203,0.0329271,0.0108438125,-0.016948475,0.017732153,-0.025592916,-0.0079555875,0.027160734,0.03154892,-0.0131516205,0.026205646,-0.003641583,0.04087178,-7.98665e-05,0.01790765,-0.0014820151,0.024778308,-0.02261158,0.015225518,0.038300566,0.032995343,-0.0047647925,0.027852282,-0.022342684,0.016865037,0.003586185,0.040874187,-0.012254573,-0.003879749,0.004306993,0.051151652,0.030160392,0.0046050544,0.0026309944,0.03624603,0.027477065,0.026617354,-0.017178994,0.026327455,0.020502051,0.028007502,0.0071777366,0.008565981,-0.0013097323
