,donkey,horse,bear,sheep,rabbit,elephant,goat,frog,tiger,dog,cat,lion,turtle,monkey,raccoon,cow,giraffe,fish,alligator,zebra,deer,squirrel,kangaroo,leopard,bee,ant,camel,bird,penguin,rhinoceros
10082,0.011010185,-0.003810725,-0.009314624,-0.010862985,0.0020767483,0.008295694,0.024937049,0.015633041,0.0016732528,0.0076874048,0.01923632,-0.031236956,0.0056575146,-0.0052117906,0.016436584,0.003372213,-0.027455823,0.023462815,-0.024286484,0.030561766,-0.012508341,0.0018174065,-0.008922095,0.018184936,-0.009429175,-0.022401376,0.008713706,-0.041409153,0.0055066273,-0.025001198
10083,-0.010110061,0.011695194,0.016867379,-0.0090602925,0.018889284,0.009705879,0.027178297,-0.0061893105,-0.015943892,0.0019710518,-0.004971852,0.009882839,0.016262671,0.018102568,0.019587869,0.017002704,0.014044236,0.020545213,0.014646162,-0.003068803,0.01907447,0.0032875612,0.01761585,0.016862823,-0.007906669,-0.013484956,0.016268613,0.03161224,-0.0101257665,0.019842228
10107,0.019442143,0.002660562,0.0014429266,-0.003939834,-0.00021844481,0.014952421,-0.016319266,-0.046211053,-0.009637021,-0.029933492,0.001391835,-0.009973567,-0.018379187,-0.007970045,-0.0026955055,-0.0036147423,-0.0049260906,-0.015776927,0.011682461,-0.01575602,-0.0027026236,-0.020216843,-0.014148016,-0.010368307,-0.010876156,-0.01099503,0.028664747,-0.010716016,0.03415436,-0.004458755
10108,-0.0035689482,0.009561503,-0.0131575875,0.0034366825,-0.017097114,-0.027906531,0.010513164,-0.017391115,-0.024477512,-0.028125523,-0.026916638,0.0013212673,0.01867827,-0.0046188547,-0.0050606527,-0.03177668,-0.017854255,-0.005055647,-0.008016403,-0.005722647,0.023832938,-0.023463257,-0.018168887,-0.024314605,-0.02411387,-0.01177423,-0.018202763,-0.016561415,0.0073251748,-0.024116047
10109,-0.0034606836,-0.00894967,-0.012102419,-0.023867974,0.005134094,0.024196064,-0.008245176,-0.006258465,-0.0009479693,-0.0058038533,0.033547442,-0.011293657,0.012544374,-0.023084702,0.008753743,0.0073676016,-0.0058872886,0.0022793852,0.023670316,-0.043383043,0.018154686,-0.018385202,-0.02433435,-0.026387988,0.0020756496,-0.011451751,0.06719223,-0.007328792,-0.015449013,-0.013410479
10110,0.030200578,0.002889567,-0.043566253,0.0012827521,0.014957811,-0.034918334,0.009774503,-0.0007828828,0.010610708,-0.019095866,0.0030486218,0.023294328,-0.012470238,-0.0025054778,0.023943624,0.023647927,-0.019784495,0.016547712,-0.024908766,-0.0042391405,-0.0143335415,-0.009503788,0.018201223,0.023706758,0.028317058,0.010691489,-0.0054529184,-0.013482989,0.013220745,-0.016771473
10112,0.016415378,-0.0024741704,0.012551687,-0.024133166,0.0044476637,0.03898451,0.0060450714,-0.002290781,-0.018257925,0.028285062,-0.00035736235,0.007622384,-0.002696067,0.009478959,0.007024782,-0.0005708554,0.009176008,0.008871316,0.019529022,-0.02060511,0.013577838,0.035274647,-0.028063312,0.01546073,0.00019137778,0.030150302,0.022089692,0.0028973792,0.007161314,-0.00786179
10113,0.004028674,0.017984835,0.036277737,-0.03414797,0.007160351,0.05213048,0.0068645445,0.001266477,0.008687209,0.007788652,-0.001348802,0.015622166,0.0098982705,0.016880779,0.0060795546,0.014078752,-0.008866875,-0.003532797,0.04913166,0.007565845,-0.0046951207,0.021958617,-0.01806512,0.00924247,0.017470224,0.024331475,0.052669298,0.016644897,-0.0076962053,0.023389166
10114,-0.03946278,0.012063668,0.028816015,-0.022525622,-0.004998099,0.040541694,0.030761713,-0.0055409544,0.0041988436,0.026974259,-0.0039208345,0.0051927404,-0.00017057064,0.020255541,0.008133135,-0.010021661,-0.019246526,-0.013443752,0.05033743,-0.008904882,0.030516634,0.011370242,-0.02082768,0.005299967,0.015539546,0.026235318,0.064267404,0.008236828,-0.02441346,-0.010136825
10139,0.008160823,-0.0037823499,0.0060857707,-0.035329808,0.009589375,-0.010644215,-0.008877876,-0.0051942053,0.020356275,0.012727189,-0.005330892,-0.015530077,-0.013215444,-0.0150349215,0.037001286,0.008262944,0.014355663,0.0010681724,0.008586543,-0.036252324,0.030764116,-0.016895762,-0.017230285,-0.010547516,-0.013874978,0.015887605,0.06944175,0.003463137,0.011432842,-0.009612442
