,0
0,subject 03-glasser-MI-cosine
1,clip-vis-sim
2,-0.3841680097607724
3,0.009598080383923215
4,subject 03-glasser-MI-pearson
5,clip-vis-sim
6,-0.35509136937691615
7,0.009198160367926415
