,0
0,subject 03-glasser-MBelt-cosine
1,avg-real
2,-0.3749011588763772
3,0.008398320335932814
4,subject 03-glasser-MBelt-cosine
5,log-phy
6,0.3808764405878919
7,0.00599880023995201
8,subject 03-glasser-MBelt-pearson
9,log-phy
10,0.3650293204215585
11,0.007598480303939212
