,cat,camel,bird,giraffe,monkey,donkey,kangaroo,rhinoceros,elephant,raccoon,horse,cow,leopard,rabbit,goat,lion,turtle,zebra,dog,frog,sheep,tiger,ant,alligator,deer,penguin,bear,squirrel,fish,bee
22528,0.03416886,0.014060701,-0.023488656,0.01731585,0.026208477,-0.018259548,0.012339753,-0.00076359016,-0.0012293687,0.030525386,0.011906615,0.023643129,0.02246005,0.0052136616,0.00821372,0.017288078,0.03520919,0.03890822,0.039781686,-0.016291048,-0.020889081,0.030703567,0.04671392,0.02180666,0.00414136,0.004581424,-0.012508404,0.014153109,0.045481738,0.03892878
25412,0.025414364,0.029727854,0.03115725,0.036652047,-0.00048976555,0.047338862,0.009382189,0.010186616,-0.0071876906,0.008668746,0.03157759,0.009104542,0.03762127,0.013370835,0.03725122,0.0018669153,0.003847165,0.033990484,0.007282892,0.006984363,0.015827777,0.04693921,0.033432674,0.038166948,0.049667988,0.023167426,0.0069418177,0.022283345,0.036086336,0.04369809
25439,0.037648324,0.02042813,-0.0070524556,0.020878406,0.03345577,0.04999383,0.03624591,0.0048876964,0.037863366,0.020142926,0.024301574,0.03258306,0.035501715,-0.007238042,0.041773632,0.02166502,0.021679943,0.060171623,0.06537242,0.004679972,-0.028364927,0.040487316,0.07788203,0.031231888,0.01701924,0.054145053,0.01626336,0.025160776,0.044161525,0.05703488
28429,0.032428063,0.02754912,0.007827127,0.027597165,0.020821678,0.009663816,0.009374767,0.038106546,0.012971912,0.06570282,0.03693575,0.011456016,-0.019483566,0.020286623,0.030179664,0.011156716,0.022208693,0.019336462,0.02447326,-0.009451118,0.011943628,0.06259316,0.08082683,0.037729222,0.010215858,0.0529571,0.029880248,0.029291624,0.012776325,0.047815267
28458,0.034751587,0.017630527,-0.0052599213,0.03254172,0.012105771,0.033176206,-0.010484236,0.002727248,0.026842957,0.026269777,0.02428928,0.0066509205,0.03491632,-0.0001698599,0.036614917,0.0045003006,0.015129305,-0.006987985,0.065350525,0.0170996,-0.0010492261,0.0154208215,0.034905717,0.040855948,0.020667687,0.003981775,-0.015768891,-0.0056234635,0.0052201734,0.028155165
28459,-0.0013185497,-0.015231763,0.018024743,0.014874277,0.016170936,0.016797509,-0.011535868,0.001411302,-0.012544033,0.011981532,0.0141066285,-0.0035663992,0.020588007,-0.0016128188,-0.022399738,0.01696599,0.0036589364,0.03741427,0.0023227297,0.0043609315,-0.0036053713,0.0002717996,0.009859394,0.0031156733,0.0016782467,-0.0055440967,0.026718477,0.016273687,0.03230327,-0.0131897405
31542,0.020848284,0.03253879,-0.007923427,0.028801844,-0.016240088,-0.014964509,0.016757987,0.0034511716,0.014031135,-0.0031050388,0.00020942434,-0.013948646,-0.0014401056,0.02396652,-0.016682262,0.001931029,0.020425605,0.030183455,-0.015470415,-0.008071455,-0.012697958,0.0115628205,0.00055088085,-0.005310824,0.008806101,-0.016763499,0.016572615,-0.0029316351,0.0020351422,-0.024162238
31572,-0.00020239067,0.042191613,-0.025634699,0.012288968,0.022922844,0.012533303,-0.0063416176,-0.017285896,0.014514458,0.0025460108,-0.009584429,-0.008546967,0.0097958995,-0.010671505,0.01156881,0.014867852,0.01396316,0.023916652,-0.010944451,0.01389695,-0.0029918526,-0.021018602,0.03608735,0.021807393,-0.012020152,0.012134616,-0.022263877,0.002392012,0.015413291,-0.002941
31606,0.010747068,-0.0028528348,-0.015922958,0.02540707,0.01877889,0.011871505,-0.0043513766,-0.007386463,0.0008180093,-0.0074495575,0.023342155,0.0073163747,0.040340375,0.0029018216,0.007789792,0.012026377,0.017712709,-0.0020093883,-0.015261315,-0.013092705,0.012532947,0.015921509,0.01317132,0.008394339,0.015542229,0.0031379303,0.012237226,0.0107645765,-0.0016461574,0.033652645
31642,-0.014295411,-0.026245816,0.0027934576,0.048136685,0.012544784,-0.037269883,0.024865277,0.021031072,-0.0080189025,0.042521846,-0.011631296,-0.022122838,-0.018435104,0.004898807,0.0037138443,0.0016375097,-0.012553376,-0.0013546279,0.0048354603,-0.002942255,-0.030879403,0.027632067,-0.021490892,-0.021987395,-0.0022627974,-0.008101005,0.039704558,0.024581863,-0.0015327513,0.025932327
