,Concept,Euclidean,Pearson
0,bee_raccoon,0.43462106585502625,0.52200847864151
1,bird_ant,0.5554521679878235,0.7425004243850708
2,ant_raccoon,0.4580955505371094,0.5884308516979218
3,deer_fish,0.3961780071258545,0.5835436582565308
4,bear_frog,0.4255925118923187,0.7452389895915985
5,alligator_rhinoceros,0.4604344666004181,0.7280608415603638
6,rhinoceros_alligator,0.4604344666004181,0.7280608415603638
7,bird_deer,0.46562623977661133,0.8038295656442642
8,bird_horse,0.4189830422401428,0.648476243019104
9,horse_bird,0.4189830422401428,0.648476243019104
10,kangaroo_camel,0.4505327343940735,0.561993271112442
11,horse_kangaroo,0.393812894821167,0.4875560998916626
12,kangaroo_horse,0.393812894821167,0.4875560998916626
13,elephant_deer,0.41950899362564087,0.7036665678024292
14,squirrel_cat,0.43815937638282776,0.5246961712837219
15,rabbit_deer,0.3616395890712738,0.656929075717926
16,raccoon_rabbit,0.3751314878463745,0.47770339250564575
17,horse_monkey,0.3190734386444092,0.4360259771347046
18,rabbit_camel,0.3948722779750824,0.596358984708786
19,monkey_dog,0.3823678195476532,0.47626549005508423
20,monkey_squirrel,0.3624288737773895,0.4686219096183777
21,horse_goat,0.3743988871574402,0.6266603767871857
22,giraffe_zebra,0.4165404140949249,0.6996614933013916
23,horse_cow,0.3132626414299011,0.5169752836227417
24,rhinoceros_cow,0.4045875072479248,0.7495554089546204
25,zebra_deer,0.4453170895576477,0.7719580680131912
26,cow_lion,0.39050644636154175,0.6466129422187805
27,donkey_cow,0.35713109374046326,0.6681578755378723
28,lion_cow,0.39050644636154175,0.6466129422187805
29,bear_cow,0.351356565952301,0.5499845445156097
30,camel_rhinoceros,0.5107833743095398,0.7448096871376038
31,cat_sheep,0.5302514433860779,0.6829490661621094
32,giraffe_donkey,0.4126409888267517,0.7371347844600677
33,giraffe_lion,0.4202987551689148,0.6685157120227814
34,cow_dog,0.42786648869514465,0.6232470571994781
35,giraffe_dog,0.4435686767101288,0.6653338074684143
36,leopard_zebra,0.4530606269836426,0.6901210248470306
37,donkey_dog,0.4403081238269806,0.6126075387001038
38,cat_dog,0.423051655292511,0.4848979115486145
39,lion_bear,0.4223518371582031,0.622711181640625
40,rabbit_raccoon,0.3751314878463745,0.47770339250564575
41,bear_leopard,0.40751487016677856,0.5577148795127869
42,rhinoceros_horse,0.4154137074947357,0.6115137040615082
43,raccoon_lion,0.4423479437828064,0.5799620747566223
44,tiger_raccoon,0.4655057191848755,0.6286574602127075
45,dog_bear,0.43307146430015564,0.5866694450378418
46,dog_raccoon,0.4184032082557678,0.515263020992279
47,deer_sheep,0.4187716543674469,0.6916507184505463
