,0
0,subject 03-glasser-6ma-cosine
1,clip-real
2,0.4564002820987665
3,0.0011997600479904018
4,subject 03-glasser-6ma-pearson
5,clip-real
6,0.3876619157896091
7,0.00599880023995201
