,bird,tiger,donkey,rabbit,deer,camel,goat,sheep,cat,kangaroo,rhinoceros,penguin,frog,lion,dog,squirrel,bear,turtle,elephant,ant,horse,alligator,raccoon,cow,leopard,monkey,giraffe,bee,fish,zebra
20476,0.028691879,-0.0056231245,0.011146135,0.020436266,0.02384705,0.016670572,0.04905295,0.020079153,0.010913487,0.04161336,0.019511975,0.00849977,0.06421564,0.04854919,0.038336378,-0.009895657,0.01411616,0.006838814,0.029989855,0.07304769,0.029556178,0.041458007,0.012220868,0.029291347,-0.0051484345,0.033251468,0.016575126,0.06038946,0.015686985,0.060061276
20504,0.09739944,0.052662477,0.024161944,0.051969815,0.114213556,0.08473001,0.08189998,0.056651782,0.11990843,0.0536765,0.104790956,0.061295193,0.114811204,0.07640924,0.07330974,0.053611357,0.06587608,0.08883796,0.09698447,0.1179392,0.06630201,0.10463589,0.06601838,0.041778166,0.107486956,0.085515045,0.035258424,0.10831935,0.099112116,0.10696977
20505,-0.024212599,-0.005218871,0.011841244,-0.0012340015,0.011065421,-0.013934846,0.035326675,0.0042134137,-0.008747995,0.0052823904,0.008615073,0.013906803,0.024628358,0.022818616,-0.007035468,0.013427283,-0.0071998774,-0.01148985,0.021036325,0.0014411459,0.002282655,0.039596707,-0.011305176,0.02518387,-0.009363358,0.001092797,0.0019329299,0.021541512,0.03806411,0.044351134
23454,0.022436542,-0.004660912,-0.0028346665,-0.011560318,0.03934924,0.0058427714,0.048436422,-0.010658138,0.004676514,0.03948265,0.031855147,-0.0074719805,0.03952836,-0.005160312,0.019000776,0.011932979,0.0058420277,-0.0068274424,-0.0044448427,0.024288148,0.0016192816,0.03483229,0.012557298,-0.011273924,-0.011467372,0.03777686,-0.02539607,0.05192177,0.0054407907,-0.0012467703
23455,0.04969536,-0.0061453073,-0.004867012,0.011523336,0.058278058,0.04034779,0.021124557,0.028631173,0.049095597,0.053409655,0.0057066926,0.060452867,0.073820025,0.034998883,0.062315017,0.024676615,-0.009343423,0.050549388,0.04760264,0.058525447,0.01016144,0.033197794,0.007842706,0.040304605,0.050700594,0.01551099,0.037857108,0.02841428,0.022713935,0.077733375
23480,0.033939596,0.014168996,0.031288926,0.019971134,0.05649398,0.022589384,0.06959114,-0.020196602,0.05376784,0.026168132,0.03624102,0.010818568,0.028946757,0.034389425,0.045171533,-0.014560152,0.04097438,0.05886663,0.01994003,0.012221557,0.039757285,0.05352376,0.031239523,0.030282972,0.018314203,0.0702087,-0.0020437045,0.04079613,0.06352622,0.045762386
23481,0.021024764,0.03532462,-0.015601757,0.004904149,0.051105887,0.028525693,0.06379334,-0.022216186,0.04811336,0.038246993,0.0338606,0.01169649,0.051508162,0.039318275,0.048795592,0.018874528,0.021470262,0.03211368,0.05166963,0.05140342,0.03301557,0.03933071,0.025499696,0.009283743,0.048216224,0.042011995,-0.044699743,0.026097372,0.049700122,0.027597629
23482,0.08965369,0.020903355,0.00293394,0.0037726199,0.09337771,0.0547397,0.045146316,0.032779317,0.029891139,0.04678717,0.03045618,0.0414466,0.0736461,0.057580445,0.04386145,0.024263857,0.009677607,0.03546799,0.09841228,0.08859167,0.025917774,0.04337375,0.019666621,0.040413417,0.021808958,0.043516908,0.023521045,0.047165412,0.09576043,0.0801984
23508,0.0964197,0.025608718,-0.015070803,0.026407033,0.06887037,0.054492597,0.069231644,0.023595894,0.0741907,0.045464102,0.060087163,0.060827997,0.07211725,0.065670334,0.04040372,0.007784702,0.042987525,0.06767707,0.038579542,0.07379257,0.06300252,0.1071187,0.038574446,0.037148435,0.048008054,0.06753904,-0.019410426,0.08762973,0.07178637,0.08107815
23509,0.027013421,0.011884339,0.012093969,0.001406974,0.023491398,0.008213685,0.032063194,0.037976373,0.023113312,0.008373379,0.015256933,0.010043202,0.017029976,0.011505045,-0.013344205,-0.016065508,0.012963913,0.033417005,0.04172507,-0.00952254,0.010376535,0.039896917,0.012373064,0.017405048,-0.009717308,0.02444315,-0.006844885,0.037500855,0.048006937,0.031129107
23510,-0.013530516,-0.009031437,-0.006626725,-0.008525408,0.00035765592,0.025503188,0.033496868,0.025570095,-0.00488145,0.03446741,0.014982977,-0.018082058,0.0013214601,-0.00475477,0.005164165,-0.017368564,0.028845392,0.001882085,0.048869893,0.023263643,0.012544032,0.022507733,0.038302664,-0.013003428,0.0125897275,0.022060523,-0.026390702,0.021246815,0.05107075,0.033263918
