concept,fMRI-sub01-cos,fMRI-sub01-corr,fMRI-sub03-cos,fMRI-sub03-corr,Avg-realness,Avg-realness-conf,CLIP realness,CLIP visual similarity,phylo-dist [log],fMRI-sub02-corr
bee_raccoon,0.438841641,0.530470192,0.372495651,0.561813354,1.5,3.6,0.9,0.9,6.53,0.362506092
bird_ant,0.367191374,0.501072526,0.645500809,0.706931055,1.2,3.8,0.88,0.87,6.53,#N/A
ant_raccoon,0.465789616,0.570774853,0.392290831,0.629171818,1.2,3.8,0.96,0.86,6.53,0.33991164
deer_fish,0.332415104,0.446834803,0.572913736,0.682013541,1,3.8,0.6,0.88,6.14,0.330265701
bear_frog,0.420614123,0.552059263,0.578550547,0.739477158,1.2,3.7,0.82,0.86,5.86,0.357011378
alligator_rhinoceros,0.343358576,0.490662456,0.634870231,0.697779775,1.1,3.7,0.59,0.89,5.77,0.239814341
rhinoceros_alligator,0.343358576,0.490662456,0.634870231,0.697779775,1.2,3.8,0.8,0.89,5.77,0.239814341
alligator_turtle,0.393087029,0.508656174,0.710808605,0.767088071,1.2,3.7,0.93,0.89,5.56,0.214470983
kangaroo_camel,0.43476671,0.555520564,0.576788187,0.722210824,1.5,3.8,0.83,0.9,5.08,0.249935627
horse_kangaroo,0.365822077,0.457513571,0.569937766,0.613294959,1.2,3.7,0.61,0.89,5.08,0.221794248
elephant_deer,0.333445132,0.416146338,0.569937766,0.613294959,1.2,3.8,0.68,0.9,4.6,0.362768471
squirrel_cat,0.544772714,0.628861308,0.441164434,0.627175033,1.7,3.7,0.79,0.92,4.54,0.27968967
rabbit_deer,0.325954676,0.42919451,0.375112414,0.55623436,1.3,3.7,0.85,0.91,4.54,0.30902499
bird_deer,0.348751068,0.448006928,0.338898838,0.526498824,1.2,3.8,0.55,0.88,5.77,#N/A
frog_turtle,0.391265094,0.497472286,0.338898838,0.526498824,1.4,3.7,0.97,0.88,5.77,0.222608209
bird_horse,0.328584731,0.447870255,0.583721876,0.6983082,1.1,3.8,0.73,0.87,5.77,#N/A
horse_bird,0.328584731,0.447870255,0.342778027,0.526152313,1.2,3.8,0.73,0.87,5.77,#N/A
kangaroo_horse,0.365822077,0.457513571,0.540528923,0.656482548,1,3.8,0.75,0.89,5.08,0.221794248
raccoon_rabbit,0.432262957,0.52317217,0.373998165,0.520705581,1.6,3.6,0.95,0.9,4.54,0.297012806
horse_monkey,0.243875265,0.36221838,0.354057789,0.524694592,1.9,3.7,0.76,0.88,4.54,0.193138301
rabbit_camel,0.335522532,0.496081769,0.448614001,0.614937901,1.4,3.6,0.83,0.88,4.54,0.313256025
monkey_dog,0.288293302,0.377656996,0.343777418,0.504993975,1.2,3.7,0.93,0.87,4.54,0.210848689
monkey_squirrel,0.46351862,0.546838999,0.3623088,0.524799198,1.6,3.7,0.83,0.91,4.47,0.237478673
horse_goat,0.30012536,0.4271155,0.39687264,0.558470994,1.7,3.5,0.72,0.93,4.33,0.249617636
giraffe_zebra,0.679396659,0.618018806,0.468649626,0.63329488,1.7,3.9,0.54,0.92,4.33,0.390529335
horse_cow,0.367793739,0.459027469,0.497769475,0.612839013,1.8,3.6,0.61,0.92,4.33,0.188657582
rhinoceros_cow,0.359763801,0.441045821,0.718134105,0.775182009,2,3.7,0.66,0.92,4.33,0.23630327
zebra_deer,0.339237213,0.410156727,0.58812362,0.712627202,1.8,3.6,0.56,0.92,4.33,0.326764286
cow_lion,0.357835472,0.431197882,0.584178567,0.696554899,1.7,3.7,0.82,0.91,4.33,0.220808148
lion_cow,0.357835472,0.431197882,0.584178567,0.696554899,1.2,3.7,0.86,0.91,4.33,0.220808148
bear_cow,0.404285908,0.487724006,0.553889275,0.676302999,2.9,3.6,0.91,0.9,4.33,0.284777403
camel_rhinoceros,0.385263264,0.548336953,0.650185108,0.716012061,1.6,3.7,0.86,0.9,4.33,0.3157022
cat_sheep,0.569306403,0.628286958,0.616202205,0.700380683,1.9,3.5,0.88,0.9,4.33,0.320590734
giraffe_lion,0.740629047,0.671020418,0.509207606,0.67361939,1.1,3.7,0.71,0.9,4.33,0.401395559
cow_dog,0.368057907,0.444539607,0.513069898,0.63144511,1.2,3.8,0.85,0.89,4.33,0.229154527
giraffe_dog,0.78868264,0.723290712,0.436137259,0.629652023,1.4,3.7,0.91,0.89,4.33,0.376582146
leopard_zebra,0.327857971,0.395253241,0.582240522,0.726612389,1.5,3.6,0.58,0.91,4.26,0.280206203
cat_dog,0.446783543,0.550976843,0.304623604,0.476724684,3,3.7,0.95,0.94,4.01,0.224839509
lion_bear,0.395635843,0.490771413,0.516124427,0.683538973,1.5,3.6,0.87,0.92,4.01,0.298143327
raccoon_rabbit,0.432262957,0.52317217,0.373998165,0.520705581,1.6,3.6,0.95,0.9,4.54,0.297012806
bear_leopard,0.390092194,0.487952828,0.499253511,0.634470046,1.3,3.7,0.85,0.91,4.01,0.35034281
rhinoceros_horse,0.313909531,0.432812691,0.55569607,0.597690135,1.2,3.7,0.77,0.91,4.01,0.257000685
raccoon_lion,0.460357606,0.544801325,0.466673493,0.628825516,2,3.5,0.95,0.88,4.01,0.291722417
tiger_raccoon,0.512448668,0.58103767,0.431847095,0.635622621,1.8,3.6,0.9,0.88,4.01,0.287042618
dog_bear,0.39911598,0.496656477,0.400989532,0.579718411,1.3,3.7,0.89,0.92,3.81,0.323357821
dog_raccoon,0.429495811,0.508902371,0.348591149,0.519754529,1.2,3.8,0.97,0.88,3.81,0.274338543
deer_sheep,0.50960356,0.561765939,0.683532059,0.750770882,1.7,3.5,0.71,0.92,3.14,0.36559397
