,boat,penguin,cat,ladder,bus,horse,apple,dolphin,table,bear,axe,elephant,bell,pencil,spoon,frog,tiger,guitar,turtle,rhinoceros,cow,bee,monkey,spider,banana,rabbit,shoe,tree,trumpet,cactus,kangaroo,chair,dog,giraffe,wolf,lion,mushroom,tie,computer,whale,dress,hammer,scissors,ant,butterfly,popcorn,rifle,microscope,sheep,kite,knife,motorcycle,fish,piano,scorpion,umbrella,couch,brush,bottle,cup
7942,0.004546008,0.008504336,5.07E-05,0.032715887,-0.023400048,0.008194526,-0.027744966,0.03931029,0.006625637,0.006816311,0.022649452,0.000954021,-0.018121567,0.06452998,-0.003429532,0.028994823,0.02137466,-0.037790656,0.004788509,-0.00064102,0.009081115,0.006930782,0.007107216,0.03412358,-0.010833836,0.019324232,0.023998007,-0.011646404,0.023280537,-0.04924136,0.000498417,0.013036601,-0.013831665,0.004294638,0.02971,-0.005357606,-0.000131981,0.017011415,-0.017270325,0.007186992,0.02240022,0.00602855,0.05271554,0.031625528,0.011106636,-0.004819848,-0.00738752,-0.011200833,-0.016431948,0.029780442,0.026710117,0.02263142,0.015413083,-0.000431798,-0.019526491,0.013372966,0.002953928,0.041955713,-0.0100414,-0.010813758
7966,0.006105821,-0.007840189,0.005313018,0.03591751,0.009603004,0.011920481,-0.015264139,0.023029307,0.0011923,-0.002472566,0.013269204,0.005929628,-0.009035506,0.031216389,0.005201394,-0.016171927,0.018028816,-0.031417925,0.007095472,-0.001832632,5.61E-05,0.017129757,-0.008298013,0.042576015,-0.0159964,0.001265755,-0.013948004,0.005137013,-0.019052876,0.03413615,-0.022768525,0.009302323,-0.002514217,0.021910543,0.008039422,-0.012059312,0.020174379,0.004867665,0.006683655,0.023116479,0.028074684,0.019989075,0.006809642,0.015150453,0.005574636,0.008039369,0.012599132,-0.011965402,-0.029812163,0.024633592,-0.002351253,0.00860779,-0.008726298,0.001462452,-0.02709272,0.007382307,-0.013954488,0.042570736,-0.013837226,-0.005471302
7967,0.001899488,0.007560714,-0.007416343,0.0055707,-0.013645016,0.005616237,-0.005497573,0.001059542,-0.04205036,-0.024771987,0.005803127,-0.01206955,0.0209774,0.019771375,-0.00445084,-0.02996026,-0.006722105,0.015141602,-0.015942357,-0.003429048,0.011293472,-0.004736599,-0.00661153,-0.006512562,0.002671072,0.013195789,0.018552557,-0.000754448,0.03329669,0.000113351,-0.011739659,0.015622134,0.008210976,0.003393525,0.008256434,0.012348075,0.01427172,0.022800572,-0.007236128,0.00644833,0.00898423,-0.006540341,-0.00449663,0.015393135,0.024242664,0.018927896,-0.007698587,0.0156082,0.005709039,0.02691217,0.011816402,0.006906733,0.031439938,-0.002437807,0.007714908,0.007545101,0.02957617,0.008715252,0.00526593,-0.013049358
7970,-0.007892634,0.003478263,-0.003283958,-0.008034707,0.001353935,-0.004175043,-0.010389368,0.009888488,0.012818866,-0.008979939,-0.001488083,0.014048863,0.000405446,0.02074738,0.010161926,-0.007434277,0.04104811,-0.001623497,-0.011301584,-0.001882765,-0.010251263,0.004486307,0.011058711,0.01586894,0.004971316,0.008839568,0.04214341,-0.001327654,0.015315037,-0.019846374,-0.00932202,-0.03510381,-0.026504762,-0.026484659,-0.009522744,0.003211599,0.010258672,0.011883329,0.022766054,-0.040408902,0.002467459,-0.013231977,0.029511258,0.004752972,0.003373613,-0.018725425,0.01579839,0.012808113,0.017447162,-0.016150203,0.008097407,-0.000504387,0.016975606,0.006987294,0.016835963,0.000360882,0.007085782,0.016123828,-0.009904323,-0.013658511
8024,0.03655355,0.00304987,-0.007712759,0.04197832,-0.020734265,0.006847615,-0.021545043,0.026980015,0.048876632,0.013553128,0.002540422,-0.005399065,0.021527104,0.035810474,-0.023203941,-0.015631273,0.000266651,-0.015493039,0.036606774,-0.025354607,0.010631505,0.021875223,-0.006026515,0.020187156,-0.005109996,0.001136023,0.004313201,-0.002599188,0.011271089,0.018384231,-0.021591505,0.023107307,0.020568376,-0.016903047,-0.019824259,0.00724569,0.028141698,0.004292924,-0.001107893,0.017883243,-0.015348676,0.029060028,0.008139253,0.013707951,0.026852362,0.039562736,0.002167207,0.013976652,-0.011009826,0.0060785,0.010114598,0.003796201,-0.012776808,0.020624088,-0.014441875,0.025824966,-0.005662292,0.03248855,0.00762847,0.000894157
8025,-0.005674316,-0.012066525,-0.016263433,0.010419511,-0.007079336,-0.00387611,-0.039613206,-0.000301304,0.016003588,0.005429588,-0.00754106,0.01398781,-0.001292655,-0.009238442,-0.003256937,0.003122694,0.008531965,0.004801597,0.018466832,-0.011857974,0.003969092,0.050817896,-0.017337434,-0.018909976,0.001940518,-0.011178794,-0.016760752,-0.017532159,0.039096076,-0.019310063,-0.024391254,-0.0237849,-0.002000755,0.008340915,-0.011056372,-0.003547533,-0.006138017,0.006821203,0.028463662,0.002298894,0.000628852,0.005402619,-0.01087666,0.01004466,0.011270459,-0.008423446,-0.016396893,-0.003552969,0.016886035,-0.005010912,-0.004045734,0.029704496,-0.012990777,0.014996954,-0.003540484,0.014526938,0.005801935,-0.004613806,-0.014554974,-0.019742746
10034,0.013829959,0.004592737,-0.0200496,-0.005476017,-0.021883503,0.018813258,-0.028751874,-0.006431462,-0.001764027,-0.02195256,0.017944254,0.036802303,-0.013597469,-0.006888822,-0.02478549,-0.01992178,0.005282879,0.003644846,0.006627921,-0.004168992,-0.006055831,-0.013531609,0.010861476,0.027305292,-0.010139618,0.027960142,0.028631546,-0.020463469,-0.018426351,-0.029936187,-0.018062918,-0.000441438,-0.004458089,0.003510769,0.003976889,-0.031572737,0.011314801,0.008217096,0.016539494,-0.04602539,-0.004112713,0.006316023,0.03067746,0.011171182,0.001992584,0.002912112,-0.035608016,-0.008905869,0.019478409,-0.017631637,-0.008331764,0.025689496,-0.000290377,-0.019102274,0.001159771,0.013914201,-0.011047316,0.002599608,-0.04943202,0.008654731
10055,0.006641088,0.009645305,0.009636147,0.021416372,0.00684987,0.041108515,0.010572732,0.003396338,-0.0091019,0.015868016,0.022229256,0.005801005,0.008167257,0.00783918,0.006060775,0.006129759,0.010358105,-0.014534723,0.008992851,0.00620346,0.005608304,-0.015121578,0.013083755,0.006827352,0.010929759,0.009904736,0.047196116,-0.004559767,-0.02351778,0.03500073,-0.003346117,0.00334753,0.001710794,0.006555446,0.01376384,-0.002347914,-0.028201828,-0.006367339,-0.007798453,0.032165397,0.007924977,-0.010662895,0.007911234,0.009236126,0.03509817,0.01597069,0.023166576,0.010300255,-0.015657842,0.014983614,0.016371315,0.014705964,0.029240126,0.004151534,0.011794495,0.008383076,0.007937004,0.077998154,0.011453352,-0.009642507
10056,-0.021216938,-0.000398727,0.008324116,-0.010328285,0.013201575,0.012463999,0.006910987,0.007460713,-0.015961453,0.00674307,0.018828956,-0.006484637,-0.005844581,0.014744761,-0.006863039,0.020583788,0.024499113,-0.00276686,-0.008897894,0.02283114,-0.001056916,-0.0222669,0.004558145,-0.005113034,-0.002342221,0.006641295,-0.005093301,-0.017691785,0.015572018,0.024183258,-0.001543167,-0.01094871,-0.001263114,0.039341375,-0.003656964,0.011414923,0.002380688,-0.009322529,-0.015439384,0.051559646,0.011619539,-0.01014435,0.000876686,0.0016455,0.003129032,0.009637763,-0.005859476,0.008650805,0.005690008,-0.023007737,0.006217685,0.01563832,0.023039544,0.011410537,0.004661978,0.004158945,-0.022005796,0.050076824,0.028574608,0.001721551
10057,-0.000930833,0.005337192,-0.00265052,-0.026502421,-0.004017526,-0.015963122,-0.024911957,-0.012018543,-0.007946544,-0.014970958,-0.008538732,0.006971322,-0.022292256,0.02071626,0.001663093,-0.014714155,0.003775689,0.011045374,0.010442644,0.013399792,0.005734392,-0.016228028,0.003405682,-0.031043299,0.000458648,-0.018752122,0.034986798,-0.06012697,-0.01751907,-0.016757162,-0.019827329,0.002740326,-0.02271118,-0.012471887,-0.004142223,-0.012965292,-0.004316985,0.023356542,0.015106673,-0.03588599,-0.007598382,-0.014490518,0.03543129,0.004427579,-0.013091649,-0.031224385,-0.022413066,0.003919572,0.026047273,-0.022568248,-0.018585641,0.010252059,0.021718914,0.000183019,-0.02417256,-0.01852327,-0.010354373,-0.01170991,-0.028366305,0.014013675
