,turtle,fish,bee,frog,rabbit,cow,cat,dog,raccoon,monkey,rhinoceros,giraffe,elephant,leopard,penguin,tiger,bird,sheep,lion,alligator,bear,deer,goat,horse,squirrel,camel,ant,kangaroo,donkey,zebra
8804,-0.01720432,-0.014722901,-0.027967118,0.012813163,0.015551501,-0.0031633244,0.002734834,0.03157367,0.012592226,-0.026050901,-0.03752982,-0.009544273,0.005880421,0.0061442866,0.042005982,0.021852097,-0.042195957,0.011845768,0.0022547033,0.014823896,0.0008540284,-0.009392777,0.011747616,0.009658813,-0.005117862,-0.0009673359,0.040326104,-0.0060206293,0.025728924,-0.024055572
8848,0.015639791,0.014064123,0.023319356,-0.0076071136,0.012620758,-0.001966173,0.020584485,0.02732943,-0.017969001,-0.01076538,-0.018004378,0.02010896,-0.015079533,-0.029646875,0.019667825,-0.001678527,0.026314802,-0.022806326,0.015753016,0.0054966924,0.0240338,0.011933945,0.0009275141,-0.008889908,0.020389875,-0.003725645,-0.0016535288,-0.017771805,-0.019171681,0.008013328
8849,0.011519238,0.02005775,0.016978828,-0.00927757,-0.00634476,0.005203721,0.014813512,0.008952922,0.0018635072,0.012515099,0.011802952,0.003944035,0.019225957,-0.020764777,0.013122634,0.022920921,0.0051101153,-0.0001038971,0.002252105,0.018327383,0.026909344,0.024526065,-0.0040314384,-0.007677695,-0.010185006,-0.020189943,-0.009782759,-0.012389201,-0.0031926774,-0.0039546634
8893,-0.004389377,0.0086008785,0.019101663,-0.0134465955,-0.0061816913,-0.00367048,0.0049523455,-0.002634827,0.011820366,-0.01037649,-0.017343527,-0.011703414,0.042509917,-0.01591404,-0.010769531,-0.016140245,0.024096807,0.0036460187,-0.013353248,-0.007105717,-0.00079398137,-0.006337198,0.02207688,0.010602598,0.04297023,-0.009725141,0.009360337,-0.013246167,0.05368656,0.013403227
8939,-0.001872701,2.4956496e-05,0.0027328636,-0.0037316382,0.00024556686,0.01192792,0.01378563,-0.014428232,-0.060851127,-0.028954154,-0.0044155596,-0.008044985,0.050079152,-0.011135943,0.024233894,0.022630868,0.028928487,-0.014450494,0.014372463,0.001889597,0.014720022,-0.0032164368,-0.016535116,-0.017514722,-0.023355583,-0.0064172577,-0.004020506,-0.004425453,0.008997054,-0.018015677
8940,-0.0044703404,-0.013906202,0.013473473,-0.03842218,0.004976013,-0.045676917,-0.0019869506,-0.02728244,-0.03217544,-0.0094064325,0.010669791,-0.030049255,-0.025292562,0.0021989252,0.003275939,-0.0068132826,0.018482586,0.00032134246,0.023914494,-0.002589043,0.022622252,0.013005577,-0.003734431,-0.01974915,-0.026180351,-0.0018024985,-0.01386721,0.012906839,-0.012072917,-0.02674561
8985,-0.0039784587,-0.00055520673,0.009729485,0.04445931,0.011772342,0.00363046,0.0030280147,0.019789262,-0.039677974,-0.007077975,-0.026966346,0.0070744543,0.03673559,-0.009347999,0.018934948,-0.00018232378,-0.012223937,-0.042088866,0.011148217,0.004968398,-0.006756654,-0.028553361,0.0034512563,0.0011208592,-0.01431748,0.02171448,0.033748616,0.019924873,0.03076174,-0.02354464
8986,-0.035924543,-0.00076493,0.02306524,0.017717654,0.01643853,0.001732444,-0.01807216,0.012544334,-0.021312641,-0.0046843686,-0.021595715,0.0010829862,0.020089386,0.010747589,0.027199864,-0.009715144,-0.0080032125,0.0033996596,-0.000814466,0.014644969,0.008551337,-0.0069990256,-0.005433871,-0.0062843524,0.006658927,0.00073623814,0.033363298,-0.00086173293,0.0021051324,-0.018616717
9031,-0.0014926636,0.0079630865,0.006603742,-0.00061395846,0.01645694,0.0053935084,0.019691577,0.0368789,-0.02591639,0.00618053,-0.009951382,-0.004043827,0.010507203,-0.0056631207,-0.013460112,0.00033701057,0.0015104916,0.0066231075,-0.0024829402,0.0074842186,0.0062222653,-0.0147975525,-0.040797997,-0.017158069,-0.032138757,-0.022420386,-0.011837005,0.0019497933,-0.006797875,0.00060038763
10819,-0.03496361,-0.002333903,-6.213117e-05,-0.015456803,0.006996192,0.0006857167,-0.013661009,-0.015981982,-0.0035302031,0.02952229,-0.024460264,0.027900964,0.010040458,0.0049608555,0.013390173,0.0071974006,-0.006040322,-0.016760638,-0.041480016,-0.01755678,-0.0014842203,-0.026007405,-0.010489705,-0.012777168,0.025139498,0.0014293375,0.009790442,0.0063854754,0.0032601021,-0.005223714
