,cat,camel,bird,giraffe,monkey,donkey,kangaroo,rhinoceros,elephant,raccoon,horse,cow,leopard,rabbit,goat,lion,turtle,zebra,dog,frog,sheep,tiger,ant,alligator,deer,penguin,bear,squirrel,fish,bee
54090,0.048387438,0.019791314,0.04052618,0.00830287,0.032615967,0.020680308,0.021159625,0.01139649,0.066709824,0.017110841,0.013385795,0.021148413,0.004258207,0.030557873,0.05415839,0.03166629,0.03135168,0.033808265,0.039832424,0.020748546,0.027440345,0.026888689,0.029073058,0.03454206,0.027026491,0.031111812,0.028456489,0.022937365,-0.009857245,0.019463878
54147,-0.018729068,-0.01848196,0.006866148,-0.030043384,-0.0044041374,-0.0041603562,-0.008643103,-0.0017624684,8.340863e-05,-0.0045924974,-0.031444523,-0.00054930337,-0.0055998564,-0.013759934,-0.002500143,-0.0057417154,-0.018344445,-0.004927561,-0.002134967,-0.01281213,0.014097682,0.011509997,-0.013874018,-0.025711956,0.022722758,0.013918239,0.011889172,-0.0072704847,-0.032143768,-0.0072735758
54148,0.013122509,0.030429421,-0.0063363183,0.00091234286,0.030337883,0.016914168,0.017276332,-0.006388241,0.016483827,0.032702755,-0.003654328,0.0039636656,0.016048798,0.035673756,0.034992363,0.025233164,0.02371876,0.024385996,0.04514871,0.026481172,0.032234926,0.023257121,-0.00084928673,0.010357113,-0.009503147,0.037471328,-0.005656027,0.014836721,-0.03242526,0.02740699
57795,-0.036267024,0.0053294194,0.0003966183,-0.0064823795,0.0019829904,0.02945461,-0.011744524,-0.013065492,0.0029275867,0.01045202,-0.010559425,0.020708462,0.0020116167,-0.0043348223,0.010823499,0.024306826,-0.015327378,-0.003921613,-0.03544415,0.020684615,0.020130638,0.031611383,0.023753325,0.00051419885,-0.004318215,-0.0010684319,0.0173375,-0.012146726,-0.019210842,-0.014445055
57853,-0.037907124,-0.020154823,0.00757721,-0.0064160675,-0.015610757,-0.02240836,-0.0074446425,-0.045727298,-0.0047720186,-0.030339161,-0.02049538,-0.019267889,-0.039730575,-0.025330037,-0.05118388,-0.021232732,-0.02060593,-0.006520145,0.00867937,-0.018323516,-0.041445922,-0.052896563,-0.05303875,-0.037293922,0.011096182,-0.02381895,-0.03595432,-0.030123776,-0.04711199,0.006785652
57854,0.000641952,-0.015156601,-0.0092692925,-0.017117547,-0.015046668,0.021348558,0.0050671813,-0.010239716,0.0012495979,0.016266517,0.0006997517,0.008764731,-0.009510709,0.006605541,0.02447819,-0.025606265,-0.008395248,-0.03316175,0.010872424,0.01683691,-0.0033277438,-0.0061270795,-0.033888135,0.00847219,0.031074153,0.031037634,0.031116778,-0.0033092776,0.008157697,-0.007348021
57912,-0.038238827,-0.0020589877,-0.017443955,-0.017639736,-0.0099805165,0.0009976333,-0.016925598,-0.011765544,-0.04479708,0.0026102718,-0.0055510723,-0.013963778,-0.019812109,0.007171506,-0.033544917,0.010891161,-0.011323955,-0.01217917,-0.017694736,-0.041434843,-0.021321205,-0.035006512,-0.032561835,-0.0110872025,0.01432075,-0.050049905,-0.025274353,-0.0039140997,-0.024157533,-0.0013780171
57913,-0.010007336,-0.0074987696,-0.028126547,0.016440712,-0.0028094903,-0.005330453,0.0063351667,0.043796804,0.0065004528,0.019497838,-0.0008498228,0.007272882,0.0015855484,0.004794749,-0.0006213859,-0.0054338723,-0.02494838,-0.013629004,-0.005899451,0.02534754,0.034010466,-0.025223888,0.0069053457,0.020670308,0.0055228234,0.0032172368,0.019892784,0.0024163362,-0.005933862,-0.017230062
58031,0.012749906,0.00075636554,0.012162286,0.022238405,-0.019342879,0.016867572,0.020524964,0.019447604,0.02596421,-0.019607162,-0.0042093224,0.009290439,0.06259478,-0.008648357,0.016524147,-0.0307638,0.019921793,0.0018986684,-0.00343132,0.008233534,-0.007212524,0.020750841,0.019210072,0.006390286,-0.0018146192,0.029666984,-0.032622833,0.03606205,0.019369332,0.02622181
58090,0.011364629,0.050538957,0.006918049,0.026472265,-0.0031941105,-0.0032439574,0.018984169,0.04620129,-0.0063438327,0.0015100396,0.023147454,0.025889441,0.0050818124,-0.0068578925,0.01813955,0.037679583,0.025369408,0.0028268176,-0.006550273,-0.0017489633,-0.0014247833,0.0055296193,-0.0027028408,0.00080248836,0.0032404566,0.014924559,0.03394543,-0.004843347,0.0072473995,-0.006560696
