,0
0,subject 01-glasser-v23ab-cosine
1,clip-real
2,-0.3869980236930125
3,0.006798640271945611
4,subject 01-glasser-v23ab-pearson
5,clip-real
6,-0.3858745139910797
7,0.007598480303939212
