,0
0,subject 01-glasser-PIT-pearson
1,avg-real
2,0.4117513003187964
3,0.003599280143971206
4,subject 01-glasser-PIT-pearson
5,avg-conf
6,-0.3702154948262001
7,0.009198160367926415
