,0
0,subject 02-glasser-V3CD-cosine
1,avg-conf
2,-0.3737080938339944
3,0.004799040191961607
4,subject 02-glasser-V3CD-pearson
5,avg-conf
6,-0.4046041619798675
7,0.004799040191961607
