,Concept,Euclidean,Pearson
0,bee_raccoon,0.7109161615371704,0.6152259409427643
1,bird_ant,0.7377059459686279,0.5833351612091064
2,ant_raccoon,0.7042648196220398,0.5927129983901978
3,deer_fish,0.7030677795410156,0.5268423855304718
4,bear_frog,0.7134803533554077,0.6243279278278351
5,alligator_rhinoceros,0.7437487244606018,0.7105290591716766
6,rhinoceros_alligator,0.7437487244606018,0.7105290591716766
7,bird_deer,0.7106904983520508,0.5467768609523773
8,frog_turtle,0.702461302280426,0.6176611483097076
9,bird_horse,0.6190438866615295,0.4791750907897949
10,horse_bird,0.6190438866615295,0.4791750907897949
11,alligator_turtle,0.6558859348297119,0.5402348935604095
12,kangaroo_camel,0.8435209393501282,0.7143358588218689
13,horse_kangaroo,0.6734391450881958,0.657654345035553
14,kangaroo_horse,0.6734391450881958,0.657654345035553
15,elephant_deer,0.6925690770149231,0.6159924268722534
16,squirrel_cat,0.7194581031799316,0.766925573348999
17,rabbit_deer,0.6374250650405884,0.5931804180145264
18,raccoon_rabbit,0.6008538007736206,0.5937452912330627
19,horse_monkey,0.4963545501232147,0.4479287266731262
20,rabbit_camel,0.6757186651229858,0.6046846807003021
21,monkey_dog,0.5878957509994507,0.4400436282157898
22,monkey_squirrel,0.6538723707199097,0.6496169865131378
23,horse_goat,0.6217907071113586,0.5434426367282867
24,horse_cow,0.5548510551452637,0.6190981268882751
25,rhinoceros_cow,0.6062535047531128,0.6822005212306976
26,cow_lion,0.6399057507514954,0.6229716241359711
27,donkey_cow,0.6177528500556946,0.6739289462566376
28,lion_cow,0.6399057507514954,0.6229716241359711
29,bear_cow,0.6286070942878723,0.6354383826255798
30,camel_rhinoceros,0.7875649929046631,0.7376263737678528
31,cat_sheep,0.7128136157989502,0.7379931211471558
32,giraffe_donkey,0.7287560701370239,0.7594625651836395
33,giraffe_lion,0.8209512829780579,0.7992405742406845
34,cow_dog,0.6264788508415222,0.5404553711414337
35,giraffe_dog,0.8459377288818359,0.8167772144079208
36,donkey_dog,0.7551921606063843,0.6770321130752563
37,cat_dog,0.732943594455719,0.6383495628833771
38,lion_bear,0.7048137784004211,0.6227766573429108
39,rabbit_raccoon,0.6008538007736206,0.5937452912330627
40,bear_leopard,0.6995510458946228,0.628298431634903
41,rhinoceros_horse,0.6351884007453918,0.6691963970661163
42,raccoon_lion,0.6914694905281067,0.6080938577651978
43,tiger_raccoon,0.6961693167686462,0.6468891501426697
44,dog_bear,0.7328812479972839,0.6284133493900299
45,dog_raccoon,0.6972788572311401,0.5784206390380859
46,deer_sheep,0.7447421550750732,0.7033427953720093
