,bear,deer,giraffe,donkey,camel,raccoon,sheep,frog,dog,bird,squirrel,lion,rabbit,alligator,leopard,kangaroo,turtle,zebra,penguin,cat,monkey,horse,tiger,elephant,rhinoceros,cow,fish,ant,goat,bee
1582,-0.021896267,-0.020479128,-0.0034892336,-0.010754913,-0.008750436,0.008589022,-0.02733758,0.012023482,-0.010498292,-0.0037276417,-0.023093142,0.019787788,-0.008443648,0.0035213067,0.00884601,-0.0057813525,0.006950881,0.03942508,0.0029105013,-0.0050723557,-0.011438488,-0.00582226,-0.012073304,0.004056927,0.020712962,0.009695764,0.01646742,-0.012186988,0.0006792806,0.009288565
1583,0.040244807,0.00080160145,-0.006607289,-0.015689576,-0.02039357,-0.002107932,0.0122513,0.007205123,-0.005013563,0.020191805,0.019153532,0.0064332355,0.022376137,-0.0011544065,0.021291932,0.017288193,-0.056853354,0.013380156,0.008399024,-0.028245931,0.0069352365,0.002431053,0.022720004,0.021265008,-0.032900464,0.015314109,-0.017527556,-0.012451917,-0.018781105,0.01670891
1616,-0.014764019,0.0024135483,-0.0027914208,-0.018572195,0.009399689,0.017933706,-0.031203143,0.015660603,0.01157919,-0.009538484,-0.01264067,-0.0043779965,0.0036982822,-0.0060019437,0.01279376,-0.022166826,0.0029381916,-0.0057961494,-0.00013086945,0.029931268,-0.0039192233,0.016821908,-0.006764878,-0.0078785,0.008850778,-0.019755593,-0.0073783607,-0.007157911,-0.036446616,0.012493975
1617,-0.035670392,-0.0016930386,-0.016258297,-0.03252274,-0.022175996,0.0128652,0.0117142135,-0.008183266,0.0013713216,-0.027852148,0.0011211442,0.0099083735,0.029167203,0.013863239,0.013275094,-0.024079433,-0.023772664,-0.005238092,-0.009645981,0.0027118784,0.0015455649,-0.0112365605,0.00079674396,0.0056305393,0.022720473,0.005354777,0.050028116,-0.031714674,-0.0018498331,-0.025512101
1618,-0.0056570787,-0.008987203,0.0109311445,-0.024250897,0.0070080557,0.018777855,0.009539515,0.007602344,-0.01443949,-0.018837009,0.013453424,0.01847181,-0.01759383,0.0049938336,0.021609927,-0.01886408,0.012416959,0.018700607,-0.011184673,0.025437737,0.005420825,-0.03172558,0.010285947,0.00030066507,0.00018905848,-0.0083389925,-0.041697502,0.006749355,2.0573536e-05,-0.010687499
1619,0.003733361,-0.0064452924,0.031593,0.0011973229,-0.006423312,0.0058047585,0.02327768,-0.026260706,0.006726557,0.019603025,-0.008364402,0.030768886,0.0067307544,0.013683103,-0.022723215,-0.00015724853,0.0082403235,0.038410768,-0.010550006,-0.007946943,-0.008117329,0.003980271,0.012632812,-0.015734127,-0.016494276,0.005219787,-0.019777402,0.008609091,-0.025422603,-0.028179577
2521,0.014125061,0.007844313,0.00337858,-0.016907014,-0.0018891162,0.01005154,-0.0069423094,0.0011029784,0.015236576,-0.023745699,0.015100788,0.014893482,0.022896925,0.015935352,0.011625816,-0.001179959,-0.009331184,-0.0059481896,-0.0034956522,-0.021573618,0.011733174,0.0015433733,0.041154016,0.003356815,0.002988557,-0.008098549,-0.029486494,-0.025108473,-0.01971734,-0.012029615
2552,0.025748195,0.0024409185,0.006541519,0.015581253,0.0018122873,0.0114041725,-0.012401414,0.036515545,-0.011755973,0.017573671,-0.010575667,-0.008379872,0.00020764938,-0.011927355,0.028178856,-0.0031041782,0.024571156,-0.0031877502,0.008611721,-0.008264323,0.005784998,-0.003070304,0.0020285898,-0.0018511462,-0.018822335,0.016678603,-0.025686605,0.013755858,0.017249955,0.018261421
2585,0.014594529,0.011939161,0.007777909,-0.00803104,0.0072939866,-0.0013869721,0.014000933,-0.017306374,0.001879903,-0.0108944485,-0.015180282,-0.010060648,0.025354957,-0.014127068,-0.009057595,0.02059098,0.006328607,0.02501673,-0.007033972,-0.013961933,0.024286961,0.026442997,0.0072059967,0.020692587,-0.028432956,-0.01037242,-0.006281691,0.03430046,-0.009361657,-0.008300788
2586,0.022441069,0.018537575,0.0028949038,-0.0068610474,0.014334511,0.014564044,-0.018985359,0.0034985468,-0.0011268981,-0.036712594,0.005294739,-0.03669216,-0.012229678,-0.021075824,0.017889127,-0.0049528154,0.0056642625,0.039279245,0.0053033717,0.024814991,0.0062300884,0.011942129,0.013394453,-0.011911129,-0.024594167,-0.01972041,-0.014781192,0.023394926,-0.009461291,0.024768496
2590,0.018119333,0.03554306,-0.0027829222,-0.024378283,-0.015701339,0.0015098075,0.018851772,-0.008539797,0.014385789,-0.004506758,-0.0025895175,-0.018383311,0.015698163,-0.0065041445,-0.027130304,0.001161377,-0.031624287,-0.0072483183,0.017877094,-0.0076706004,0.0035192377,-0.0011177937,-0.0005877111,0.002908861,-0.02599492,0.025198432,-0.011990097,-0.011703634,-0.03812935,0.008680856
2621,-0.003758845,0.011162595,-0.0038279232,-0.03188209,0.014122288,-0.016982803,-0.009441412,-0.01874011,0.01850528,0.007774772,-0.019040303,-0.018368065,-0.004510566,0.0032066752,-0.0073736287,0.02661582,0.025596047,-0.017589502,0.021819757,0.010124235,0.021775367,0.0070275054,0.013415565,0.010369086,0.011369485,-0.005202683,0.0024655273,-0.0018655466,-0.0034383945,-0.017779367
2622,-0.013532621,0.001302143,-0.013323209,0.0065413513,-0.020381289,-0.006428408,-0.025903106,-0.020155445,-0.0015933014,-0.005052559,0.013333301,-0.00747648,0.009448673,-0.04057176,0.021282546,-0.014217398,-0.009524581,-0.022720978,-0.008295649,0.0015490899,-0.00290899,0.015813822,0.020725468,-0.023258857,-0.027936498,-0.008312712,-0.025359094,0.0014171446,-0.019162284,-0.007142751
2623,0.0036375166,-0.0049594278,-0.023900865,-0.018108377,-0.037307348,0.006589362,-0.045450535,-0.017912872,-0.041832898,-0.009507514,-0.013257886,-0.017495446,0.011793132,-0.05723617,-0.032889202,-0.03736798,-0.03779999,-0.051950615,-0.02623195,-0.0017152218,-0.038367648,-0.025448987,-0.017589452,-0.019257959,-0.03579457,-0.020286163,-0.0525727,-0.042963427,-0.019715155,-0.034364033
2624,0.015538703,-0.011880316,0.048749596,0.0169143,0.008675472,-0.019614415,0.004062906,-0.017836628,-0.017218683,0.031733926,-0.010012762,0.006471755,-0.010591518,0.024350276,-0.018924851,-0.022814812,0.011206053,0.012408326,-0.0069775204,-0.028255545,0.0027889286,-0.008393894,0.003470568,0.038546063,-0.004457001,-0.0076472904,-0.0063249357,0.0034881162,0.0006609369,-0.017513068
2625,-0.076057084,-0.02783403,0.025666974,-0.009291115,-0.02173338,-0.026419953,-0.017340504,-0.016395116,0.003810284,-0.019887477,-0.034879785,0.0069314856,-0.03959024,-0.051955402,-0.017610202,-0.0014996274,-0.0027344401,-0.011454905,0.008002657,-0.037302677,-0.015401858,-0.031433556,-0.010685689,-0.019128567,-0.026332013,-0.058419835,-0.017965803,-0.0004551021,-0.0218362,-0.03166951
2626,-0.049846236,-0.03742247,0.021618677,-0.02492346,-0.02548726,-0.007897383,-0.023939773,-0.019217096,0.021080514,-0.023362366,-0.026987024,-0.006037161,-0.038012616,-0.049361777,-0.0340577,-0.002185154,0.003482136,0.008055167,0.0143804895,-0.0064434544,0.011630994,-0.011786415,-0.0031633892,-0.010021067,-0.03437491,-0.03684419,-0.009901573,-0.0112183215,-0.010543724,-0.03902926
2657,-0.015931385,0.004335057,-0.006123649,-0.03987531,0.012610997,0.015280865,-0.026906334,0.0527446,-0.0022814784,-0.024470828,0.014150523,-0.0046592713,-0.011471019,-0.024145955,-0.0044946196,0.012722526,0.015570001,0.005976494,0.011385374,0.0051566106,0.0077667222,-0.015360183,-0.012501362,-0.017368274,0.011728265,0.003129952,-0.0045382986,0.0025016286,-0.009026021,-0.02576851
2658,-0.02037552,-0.024944806,0.010179128,0.0053486507,-0.011155602,0.00512643,-0.031777393,-0.016476708,0.018259108,-0.0016608645,0.002519874,-0.034336817,0.029352367,-0.023503132,-0.0022997756,-0.0127216205,-0.015060984,0.006341401,0.008083657,-0.018179966,-0.0027829956,-0.008129618,-0.006797226,-0.016223915,-0.02764236,-0.039081898,-0.0031859803,0.00097653084,-0.014591853,-0.01100153
2659,-0.0031861663,-0.029412633,0.0001168934,-0.043894026,-0.037472975,-0.03064999,-0.021137206,-0.015496589,-0.023393556,-0.020294396,-0.018381037,-0.062188387,-0.011392194,-0.022236785,-0.005997766,-0.036535446,-0.04734063,-0.0627104,-0.028070519,-0.009998329,-0.041577604,-0.02890043,-0.019598497,0.02354154,-0.03309476,-0.020500204,0.0036853945,-0.010695257,0.028565653,-0.03869147
2660,-0.027803833,-0.011340834,-0.02219086,-0.029917805,-0.005563117,-0.03405742,-0.05291416,-0.07525402,-0.020993419,-0.059902187,-0.05081429,-0.006195365,-0.04140826,-0.044285525,-0.042526722,-0.0109079005,-0.044594843,0.0024658635,-0.0074520647,-0.017670035,-0.026354566,-0.026485354,-0.02970256,-0.0010079552,-0.031014422,-0.013128667,-0.01634322,0.003964795,-0.007518006,-0.02488006
2661,-0.060854122,-0.023897083,0.009116043,-0.016736144,-0.04868574,-0.012465662,0.0054164827,-0.025641344,-0.008201341,-0.042702716,-0.047101367,0.009769688,-0.02462137,-0.039262388,-0.0026659688,-0.0024183828,-0.01314079,0.010686438,0.04207598,-0.0281933,-0.02743507,-0.034270212,0.0027359508,-0.0007196907,-0.049506586,-0.04689767,-0.025498008,-0.02533224,-0.026934324,-0.018246984
2662,-0.06108038,-0.0310202,0.05885482,-0.003935115,-0.030432127,-0.008216437,-0.01990646,-0.034118775,0.0036883727,-0.009735216,-0.007273141,-0.0154001815,-0.027269317,-0.031518947,-0.0054338276,-0.014092381,-0.009550947,-0.012881424,0.019237652,0.0019893304,-0.023467928,-0.0077828914,-0.011361276,-0.0044585937,-0.01581484,-0.03700921,0.0016507584,-0.02152028,0.004589539,0.004907447
2694,-0.009516902,-0.007866167,-0.0021830446,-0.0100572305,0.0003547774,0.009056268,0.010733905,-0.0027676523,-0.0010438719,-0.0037334862,0.029589897,-0.018420076,0.016101087,0.00405175,0.01113847,-0.03457228,0.01622477,-0.0038027102,-0.0014748416,-0.0071298257,-0.003392715,-0.004280843,0.0063208975,0.023831451,0.015965523,0.008120355,0.0066700517,0.020835325,0.014245939,-0.0031229649
2695,0.0029687106,0.0107315155,0.0009713862,-0.03194086,0.025947772,0.019358626,-0.008976858,0.023446763,0.008390391,0.0013199523,-0.009483044,0.022445364,0.0034598957,-0.010586786,0.021439562,-0.0022908843,-0.012796387,-0.010610496,-0.0055169347,0.03468488,0.014672797,0.016646491,0.0038693019,0.021264503,0.034160394,-0.009165571,0.0142468205,0.013354777,-0.005638448,0.004353135
2696,-0.029183364,-0.017744754,0.041483153,-0.038356826,-0.002190521,-0.032688525,-0.0049634133,0.036789566,0.005382497,-0.0018987494,-0.0178558,0.0008157217,-0.018678539,0.005146524,0.008585385,-0.029511472,-0.030097077,0.0011337725,-0.0057956944,0.015724098,-0.008127826,-0.017423693,-0.0051283734,0.009947744,-0.020009862,-0.035668995,0.024402462,0.018185183,0.030178858,0.0016400396
2697,-0.038860057,-0.022205206,-0.023283683,-0.044315815,-0.049210045,-0.022551596,0.02187839,-0.007566606,-0.009871499,-0.047201246,-0.05731535,0.017730081,-0.0207424,-0.0369452,-0.0075117736,-0.027918175,-0.014633319,-0.04196511,0.014957123,-0.0033067635,-0.019805418,-0.037419796,-0.01667007,0.00047118403,-0.05154028,-0.01125735,-0.013338181,-0.009780475,0.019697038,-0.0049980585
2698,0.004204773,-0.018048422,0.007189874,-0.026414754,-0.03506663,0.03758752,0.010440052,-0.009391691,0.025039762,-0.026264856,-0.015809141,0.007424709,-0.007994148,-0.0007795989,0.010036671,-0.005659578,-0.026758445,-0.0010480098,0.027997041,0.006772798,-0.004302981,-0.023919858,0.0022605525,0.0197706,-0.047669847,-0.012218201,-0.015486951,-0.012508839,0.00913391,0.038122613
2699,0.016083507,-0.023789851,0.02517921,-0.019419117,-0.012920815,-0.0014307331,-0.019084265,-0.0032133379,-0.011824376,0.0010814884,-0.007030943,-0.011147615,-0.00061004626,0.0021800497,-0.012705922,0.01207387,0.0052860267,-0.0015407318,0.018251726,0.014322456,-0.007643347,0.002680119,0.00908205,0.022910675,0.006321249,0.0010520996,0.033528876,-0.023711862,0.011333509,0.025839979
2733,0.013430536,0.0048439982,0.014529428,0.005128153,-0.0012215378,0.0039644837,-0.01494338,0.008465369,0.03509169,-0.010702842,-0.008780138,0.017647387,0.025983311,-0.012066555,0.0020124745,-0.012990038,0.011667348,0.009242707,-0.008159109,-0.0075255823,0.0064100395,-0.026754268,0.02214934,-0.0047481162,0.014695081,-0.0036501894,-0.012279019,0.005981996,-0.01805524,-0.008741501
2734,0.0017219515,-0.0045345784,-0.019689238,-0.02001131,0.0008116942,-0.0155907,-0.008231038,0.02038821,0.025099033,0.0014333235,-0.030184068,0.008141709,0.007047402,-0.01921575,0.008354381,-0.04866055,-0.02322036,-0.008376571,0.0024315994,-0.0038059072,-0.015738716,-0.006829741,-0.02068413,0.020278642,-0.0020901172,0.01291184,-0.020498356,-0.011282929,0.03661382,0.0041244975
2735,-0.00087623677,-0.009580788,-0.01783014,0.005098136,-0.006185297,-0.027021475,0.0075118407,-0.0034525807,-0.027110716,-0.01147833,0.011297219,0.0063608023,-0.010356163,-0.027164675,0.003877667,-0.035249833,-0.019090982,0.015944831,0.0008155235,-0.006129795,-0.005622732,-0.032672763,0.014596168,-0.022145497,-0.030721458,-0.010563643,-0.023081005,-0.006115066,0.018846167,-0.036704194
2736,0.006880369,-0.010003951,0.023572676,-0.054367915,0.006846506,0.0030436364,-0.0040009706,0.00631429,0.004433475,0.030134285,0.00060777395,-0.0010808698,0.015867284,-0.011275757,-0.012177228,0.015837668,-0.00779016,0.026925655,0.03299976,0.011594183,-0.00031720754,-0.012204554,0.01652974,0.01984978,-0.016975345,0.0012275594,-0.022040335,0.0011581635,0.011498618,0.024504187
