,0
0,subject 03-glasser-33pr-cosine
1,avg-real
2,-0.39585516087304695
3,0.00599880023995201
4,subject 03-glasser-33pr-pearson
5,avg-real
6,-0.3876490369383906
7,0.0023995200959808036
8,subject 03-glasser-33pr-pearson
9,log-phy
10,0.3705368441514973
11,0.008798240351929614
