,bear,deer,giraffe,donkey,camel,raccoon,sheep,frog,dog,bird,squirrel,lion,rabbit,alligator,leopard,kangaroo,turtle,zebra,penguin,cat,monkey,horse,tiger,elephant,rhinoceros,cow,fish,ant,goat,bee
35886,-0.001886089,-0.025359929,-0.020890618,-0.007283011,0.015814038,0.023630148,-0.00096684974,-0.011824344,-0.0029311713,-0.011088371,0.00023292657,-0.0047315513,0.022716776,-0.007177722,0.004618143,-0.0042394605,0.009887638,0.0058187353,-0.02777679,-0.007710971,-0.032538183,-0.0037797485,0.020371936,-0.025020361,0.001221817,-0.012941182,-0.011372215,0.0033324684,-0.021360597,0.00018484479
35928,0.015934272,0.011628877,0.00013418651,0.0063679474,-0.0043393155,0.03944445,0.018751731,-0.02841557,-0.016650142,0.015995855,0.013696,0.019704102,-0.0038845893,0.0064095217,0.014626399,0.015872208,0.013052269,0.0055905767,0.019557664,0.029351324,0.009085852,-0.002135318,0.010586447,-0.0016951365,0.026756063,0.011512853,0.022229562,0.015391064,0.0051906765,-0.026993359
35929,0.012912076,0.018106727,-0.013865054,-0.010150746,0.029546387,-0.022769393,0.005562237,0.018516874,0.018248526,0.0013573142,-0.0010205014,0.017475324,0.01229313,-0.00087766635,0.018828087,-0.009084309,0.0013123626,0.005932801,-0.036411777,0.021571329,0.018677482,0.018510595,-0.004903937,0.01086671,0.028028658,0.020371659,-0.019975511,-0.00028601816,0.027577007,0.021469781
35930,0.047526956,0.04208534,0.00748889,0.017244851,0.015118081,0.09114801,0.06608238,0.0015246117,0.028686024,0.017918132,0.03619947,0.032871056,0.02669733,0.02310934,0.015767688,0.022013783,0.04955131,0.01720156,-0.01779486,0.04090009,0.037599616,0.026645511,0.030450486,0.0156968,0.010980971,0.06803424,0.007813964,0.0010127015,0.03994316,-0.0074553764
35931,0.056621563,0.055380847,0.017345067,0.018945122,0.046438735,0.06456122,0.0693063,0.0102319205,0.011616235,0.011471473,0.02839102,0.014533006,0.009718324,0.02373981,0.010396905,-0.013719044,0.06744661,0.010791752,0.0044541745,0.042173732,0.048236012,0.035649892,0.04555531,-0.004272429,0.029368756,0.066947676,0.04050771,-0.014947459,0.039847877,-0.013901192
35970,-0.009645262,-0.012555334,0.014135796,-0.0095631685,0.013620521,-0.023299003,0.012019675,0.005496321,0.009145078,0.00026710145,-0.031321224,-0.027825044,-0.017692685,0.0040443647,-0.021448113,-0.004524457,-0.012233836,-0.0026980496,-0.0055235736,0.01925946,0.016643649,-0.003517557,0.0034073556,-0.014480273,0.0122078955,0.012994786,-0.013971846,-0.0014281509,0.005530963,0.023379825
35971,0.039362844,0.014887505,-0.0058572204,-0.0067932233,0.047902867,0.0131756365,0.039294835,0.004138855,0.025807211,0.018377453,-0.016055444,0.009012238,0.010283749,0.0066286754,-0.006999304,-0.005586415,0.00033060895,0.02542407,-0.015220866,0.027596632,0.018432548,0.021005156,0.021372914,0.008545463,0.027060905,0.022475155,0.018484866,-0.0040432294,0.027665935,-0.010953045
35972,0.04233161,0.059083898,0.0145164905,0.011596926,0.024415769,0.07477278,0.09270636,-0.005329127,0.014010592,0.021172991,0.034899715,0.030867686,0.018614965,0.03988922,0.031368576,0.012032177,0.05347323,0.043437187,0.0135487085,0.05608281,0.04401192,0.028477207,0.03870156,0.021433698,0.04222111,0.07596858,0.03503206,0.012138453,0.047463436,-0.018619189
36011,0.004312501,0.034574702,0.014326625,-0.028277002,0.009236232,0.01314178,0.047424484,0.02923963,0.011605541,-0.005281864,0.0024009123,-0.020229252,-0.011182483,0.014556722,0.0016928582,-0.0077588023,0.008339466,0.0041620755,-0.03632799,0.0050317105,0.0007862728,0.0053743017,-0.014520139,0.029688152,0.0072160163,0.0024344455,0.0025845754,-0.015536216,0.023366889,-0.0020132822
36012,0.049626138,0.047646433,0.01876082,-0.0052765706,0.012042601,0.042700376,0.06506826,0.009167983,-0.02364924,0.012822489,-0.00079051283,0.03382131,-0.010543737,0.012574871,-0.0048856004,0.00837407,0.00857184,0.0170152,-0.003766099,0.018002642,0.029819423,0.0030213408,0.033675246,0.0009319925,0.013726663,0.026468052,0.044653803,-0.024474978,0.034128606,-0.0035030122
