,bear,deer,giraffe,donkey,camel,raccoon,sheep,frog,dog,bird,squirrel,lion,rabbit,alligator,leopard,kangaroo,turtle,zebra,penguin,cat,monkey,horse,tiger,elephant,rhinoceros,cow,fish,ant,goat,bee
103707,0.012394999,-0.024799973,0.011133149,0.005857317,-0.01897462,-0.016630938,-0.022513703,-0.027232356,-0.010811262,0.040392403,0.0013092048,0.003455036,-0.0039223763,0.003465634,-0.0023852473,0.011066731,0.007749205,0.036409274,-0.011241945,0.0022448418,0.011603318,0.027007734,8.3925515e-05,0.00064092176,0.00649691,0.022470012,-0.007599322,-0.014015425,-0.012812547,0.015787
103814,-0.030781219,-0.0037539701,0.004478717,0.009386812,0.014551104,-0.0039015915,0.023860209,0.021452287,0.0054695164,0.012531663,-0.0002754702,0.022490019,-0.0007139838,0.0055426615,0.007114357,-0.004388605,-0.014639064,-0.025607908,-0.011480751,-0.011125955,-0.0025621075,0.029181914,-0.009866575,0.009795543,-0.014757876,-0.001331261,0.010384294,-0.013516631,-0.002932449,-0.0085757235
103863,-0.009950377,-0.023454852,0.012282915,-0.007414212,0.0024504047,-0.0057517556,0.055565313,0.0111123845,0.029225873,0.029403472,-0.020419404,-0.01812316,-0.017361538,-0.0019187328,-0.01773055,-0.008616198,-0.01862661,0.0065797097,0.010822768,0.017594138,-0.0066170897,0.0025977225,-0.024859717,0.023437655,0.01611257,0.005821887,-0.025386596,-0.023573428,-0.010502916,0.005063731
103864,0.008491449,0.0048996457,-0.016209181,-0.0013878103,-0.010875359,-0.004899426,0.0040360983,0.000865692,0.018612506,0.02067402,0.0019218811,-0.006558484,-0.00833199,-0.02448084,0.038727976,-0.0061079054,0.024370672,0.02647748,0.015215773,0.01404672,0.014139487,0.009765006,0.025623525,0.0010702936,0.016252773,-0.0013861802,0.0022916626,0.016192619,-0.0013681091,0.0026228363
103910,-0.028761946,0.023967087,-0.013841526,-0.0092266295,0.018222094,-0.017212711,0.026382571,-0.018244212,0.011260244,-0.006420937,-0.026975354,-0.012182628,0.011806521,-0.0042425618,0.0040999544,-0.014417482,-0.019860217,-0.021394342,0.0110851005,-0.008730723,0.021676889,0.0026637216,-0.0062607154,-0.014971764,0.012260263,-0.015223182,0.021599462,0.03356555,0.033567812,-0.012229304
103911,-0.0004968897,0.013261308,0.0016989032,0.0034534105,0.00294943,0.004321115,0.031022342,-0.0075280275,-0.020440998,0.01242286,0.019607937,-0.009415172,-0.00011809295,-0.0012869231,-0.006996523,-0.011877923,-0.0061580515,-0.0021282288,-0.01975309,-0.009300239,-0.0052759964,-0.03810574,-0.011819367,0.00086597726,-0.0054193195,-0.012344838,0.027103169,-0.01342535,0.009298211,-0.015408977
103958,-0.0059827245,-0.018927798,0.025024451,0.0039497255,0.01981858,-0.036855612,-0.027631402,-0.007435272,0.031852886,0.011011359,0.013890346,0.015559583,0.017978264,0.009031405,-0.0051150345,-0.036850456,0.008545802,-0.025298199,0.015719185,0.012668174,-0.0009143098,-0.0052451068,-0.018027818,-0.0125531955,0.008213426,0.0030790803,0.0025836686,0.0011186799,0.015503583,-0.015192921
104005,0.007527767,-0.0139459,0.017878868,-0.0005493867,-0.015585086,-0.013175796,-0.0493641,0.004709071,-0.011200459,0.017510658,0.023670835,0.0013937266,-0.006848976,0.0014655394,0.007715956,-0.020560836,0.024118057,-0.0077746273,0.00987601,0.01869844,0.016058842,0.0012290729,-0.017863633,-0.027065707,0.025354544,-0.005363161,-0.027457757,0.003726768,-0.009027491,0.0050807423
104006,-0.018102445,-0.016456338,0.018593963,0.01852391,-0.002892596,-0.041602377,-0.046012174,0.0072667156,0.008248511,-0.001373007,-0.013229559,-0.004860749,0.009795982,-0.007798582,-0.0066850414,-0.044414293,-0.001425804,-0.015732566,0.028790386,0.0034895663,-0.015059766,-0.009627103,0.00053455896,-0.018208554,0.015065984,-0.021238314,0.00659473,-0.019739581,0.004710779,0.0019637567
104053,0.01091838,-0.015087596,-0.001457567,-0.011994201,-0.015144829,-0.015528542,-0.012765632,-0.0020005917,-0.010150337,-0.04896677,0.018673124,0.00026641553,-0.00079048314,0.022362664,-0.00041330015,0.026686544,-0.02410295,-0.025307124,-0.014263355,-0.0116438465,0.007955351,0.007070715,-0.015477877,-0.034424316,0.0022855299,-0.01717308,-0.0095882425,0.005914448,0.00051773794,-0.01988399
104101,0.00082043494,-0.0007495073,0.007727955,-0.023092957,0.00043751486,-0.026944963,0.011816998,0.031538006,0.0018139593,0.05534819,-0.012439477,0.0015628148,-0.0062596607,-0.0043155174,0.014313419,-0.008587218,0.002130729,0.015306648,0.036716644,-0.009627369,0.022950927,-0.008363295,-0.009029872,0.0060076774,0.00065302104,-0.0080132475,0.017487606,0.017020395,0.051104058,0.010260461
