,0
0,subject 02-glasser-8C-cosine
1,avg-conf
2,-0.3636601551500323
3,0.008398320335932814
4,subject 02-glasser-8C-pearson
5,avg-conf
6,-0.3936965066170635
7,0.005598880223955209
